descriptor	CP_feature	time_budget	ML_model	r2_score(train)	r2_score(test)	MAE(train)	MAE(test)	MSE(train)	MSE(test)	RMSE(train)	RMSE(test)
RDKit 1D descriptors	Cells_AreaShape_Area	60	lgbm	0.5007749641565362	0.1549663893031851	0.3273621117739372	0.4307413586321376	0.7064869666683776	1.5838660319839746	0.8405277905390027	1.258517394390707
RDKit 1D descriptors	Cells_AreaShape_Center_X	60	lgbm	0.0157864519346783	-0.0040466843241682	0.4210212133918347	0.4238298886085381	0.4532617530363971	0.4281879778629462	0.673247170834306	0.6543607398545135
RDKit 1D descriptors	Cells_AreaShape_Center_Y	60	xgb_limitdepth	0.0743868628170191	-0.0450483816582869	0.4137458806697554	0.4195599096831649	0.3265902624766963	0.3754678330745356	0.5714807629979302	0.6127543007393221
RDKit 1D descriptors	Cells_AreaShape_Compactness	60	lgbm	0.0752300655148708	0.0262744380072776	0.5345991550341943	0.548475648372813	2.3785463199453165	1.5367593832196609	1.5422536496780666	1.2401019712964667
RDKit 1D descriptors	Cells_AreaShape_Eccentricity	60	lgbm	0.1530376357203139	0.0055131387578871	0.4723824955821714	0.4771938373985415	0.7889672545432349	0.8383307870143537	0.8882382870284499	0.915604055809253
RDKit 1D descriptors	Cells_AreaShape_Extent	60	extra_tree	0.2019864125735613	0.0068535097844486	0.489243314693551	0.4989383449439483	0.8620029727659784	1.332384554705079	0.9284411520209443	1.154289632070339
RDKit 1D descriptors	Cells_AreaShape_FormFactor	60	xgboost	0.0675927581953405	0.0020776024926167	0.5932006064210383	0.6084003045681626	10.828235988300287	16.20117910758821	3.290628509616406	4.018442766826022
RDKit 1D descriptors	Cells_AreaShape_MajorAxisLength	60	rf	0.2139469049597535	-0.0223184116255399	0.5234675512840025	0.5450643774035601	6.457282194921614	12.621494395943053	2.5411182961290124	3.593880871387146
RDKit 1D descriptors	Cells_AreaShape_MaxFeretDiameter	60	extra_tree	0.1847151353152233	-0.0263642585634344	0.7112071410151095	0.5742786709942778	88.95849865105905	22.228992905169296	9.431781308483515	4.714763292591612
RDKit 1D descriptors	Cells_AreaShape_MaximumRadius	60	lgbm	0.0302032082727617	0.0201895589240101	0.5156358790987012	0.4989943763539081	6.722926690129826	3.6170305814151726	2.592860715528281	1.901849253073222
RDKit 1D descriptors	Cells_AreaShape_MeanRadius	60	xgboost	0.070742489988248	0.0107596692101634	0.4807680662823564	0.4831935335860877	2.125593876780617	2.7529507894198444	1.4579416575366166	1.6592018531269317
RDKit 1D descriptors	Cells_AreaShape_MedianRadius	60	lgbm	0.0086467986774018	0.0040812903511249	0.4650593759947544	0.4609577840732485	1.1215444229660154	1.025527868595798	1.059029944319808	1.015217508012301
RDKit 1D descriptors	Cells_AreaShape_MinFeretDiameter	60	rf	0.1025655247436859	-0.3436139917725269	0.6066140641350657	0.5344631411750254	32.0733833405725	12.793073827356436	5.663336767363609	3.6144541025336823
RDKit 1D descriptors	Cells_AreaShape_MinorAxisLength	60	lgbm	0.0212367329886208	0.0043999319805467	0.508666165621778	0.5405985435300285	7.095335567175907	13.042955506553517	2.663707109870736	3.517128627964074
RDKit 1D descriptors	Cells_AreaShape_Orientation	60	extra_tree	0.008147316978383	0.0001464962182581	0.4078382905932413	0.4096633063625468	0.3070960596630882	0.2991842849063769	0.5541624848932741	0.546500321821358
RDKit 1D descriptors	Cells_AreaShape_Perimeter	60	lgbm	0.114970754009353	0.048642862165774	0.4378170380207904	0.5086436097432548	4.941594008119526	8.425196087568256	2.2229696372464303	2.9026188326351527
RDKit 1D descriptors	Cells_AreaShape_Solidity	60	xgb_limitdepth	0.141731109183505	0.0058274157617247	0.4782665612612338	0.5249193554348925	1.8582995836423384	2.5066597702780964	1.3631946242713613	1.5832434336759766
RDKit 1D descriptors	Cells_AreaShape_Zernike_0_0	60	xgboost	0.1194822396123949	0.0258261531736888	0.511236858511536	0.5121914324857483	1.411401704054804	1.4304098386916688	1.188024285970116	1.195997424199429
RDKit 1D descriptors	Cells_AreaShape_Zernike_1_1	60	extra_tree	0.1161774621804735	-0.0190857023876549	0.4712746701349828	0.4685006310648734	0.6945378900628452	0.6456069878791499	0.8333893988183706	0.8034967254937322
RDKit 1D descriptors	Cells_AreaShape_Zernike_2_0	60	extra_tree	0.1287360953671243	-0.0023517521480433	0.5794065312206008	0.5687588629911194	2.6337042286260406	3.2157603029304505	1.6228691347813724	1.793254109971716
RDKit 1D descriptors	Cells_AreaShape_Zernike_2_2	60	xgb_limitdepth	0.255154756624612	0.0253299463228947	0.4692021050063525	0.490418805995152	0.5697544390465125	0.8713860113324232	0.7548207992937876	0.9334805896923744
RDKit 1D descriptors	Cells_AreaShape_Zernike_3_1	60	lgbm	0.0401800947772249	-0.0067039175072483	0.4583030038972622	0.4631836915749204	0.5087013856821395	0.482690491564867	0.7132330514510243	0.6975785202703902
RDKit 1D descriptors	Cells_AreaShape_Zernike_3_3	60	lgbm	0.0127084462581318	0.0066915731124699	0.4651645679469757	0.4540943845489565	0.7432989409084207	0.5984326421422045	0.8621478648749417	0.773039364600725
RDKit 1D descriptors	Cells_AreaShape_Zernike_4_0	60	xgboost	0.3138369945312712	0.0239658258185071	0.4970850046812421	0.5007500259942242	0.7780353572422509	0.8959662772299243	0.8820631254293827	0.9441091789350388
RDKit 1D descriptors	Cells_AreaShape_Zernike_4_2	60	extra_tree	0.1416038066834245	0.0139073694701026	0.4873043831679999	0.4900427479763382	0.7290370606938025	0.9472661613439132	0.8538366709703926	0.973275994435244
RDKit 1D descriptors	Cells_AreaShape_Zernike_4_4	60	extra_tree	0.267137085621806	0.0183435961236524	0.4716344343669397	0.4893198336582004	0.6935143079325746	0.8807746771700348	0.8327750644277089	0.9392646979251376
RDKit 1D descriptors	Cells_AreaShape_Zernike_5_1	60	lgbm	0.0316662948012225	0.0242803680013228	0.4779998302568165	0.4841282525338074	0.8514359650909683	1.0712554397832017	0.922732878514128	1.0366970955263553
RDKit 1D descriptors	Cells_AreaShape_Zernike_5_3	60	extra_tree	0.0161839400511774	0.005208484987848	0.4648327047649683	0.4568773110145353	0.6176485720164112	0.5157911569377748	0.7859062106997318	0.7188875756534369
RDKit 1D descriptors	Cells_AreaShape_Zernike_5_5	60	lgbm	0.0248894100423678	-0.0002335990569417	0.4886580209300746	0.4660721634417339	1.480343084823658	0.5676522212177701	1.2166935048826628	0.7552637616924421
RDKit 1D descriptors	Cells_AreaShape_Zernike_6_0	60	lgbm	0.0116958773055948	0.0034363454602156	0.4635809761364371	0.4631142077780071	0.5080877274538802	0.4346409662636772	0.7128027268844306	0.6584584143580855
RDKit 1D descriptors	Cells_AreaShape_Zernike_6_2	60	xgboost	0.1326695724922526	0.0071028248355125	0.4833702916951783	0.4784345339639725	0.6849311814802734	0.8966651136788396	0.8276056920298902	0.9461102843028945
RDKit 1D descriptors	Cells_AreaShape_Zernike_6_4	60	extra_tree	0.0392216116545527	-0.0060593907280261	0.4734492702378822	0.4586854954076252	0.5523079657351265	0.446578908898555	0.743174249913926	0.668265597572219
RDKit 1D descriptors	Cells_AreaShape_Zernike_6_6	60	lgbm	0.0790463546094928	0.0110586075828985	0.4925141011972959	0.4905061740665019	1.1514491475027664	1.253211483608478	1.073055985260213	1.117920297748802
RDKit 1D descriptors	Cells_AreaShape_Zernike_7_1	60	rf	0.0903532136725524	-0.0038781484114078	0.4869309501586861	0.462833516601046	0.8457738676968938	0.579290772242499	0.9196596477484992	0.7627634985832784
RDKit 1D descriptors	Cells_AreaShape_Zernike_7_3	60	lgbm	0.021491872678845	0.0074043423396852	0.4780400373755304	0.4735250951662151	1.038863466208228	0.6868902741015037	1.01924651886	0.8287884374805815
RDKit 1D descriptors	Cells_AreaShape_Zernike_7_5	60	lgbm	0.0237296709952705	0.0029016105596979	0.4741958754262902	0.4676722481177966	0.6831229065336808	0.5805063363554711	0.8265124962961424	0.7605870660505267
RDKit 1D descriptors	Cells_AreaShape_Zernike_7_7	60	extra_tree	0.0108588188264967	-0.0018219900789455	0.4743582730933819	0.4606931666313194	1.0191084397459038	0.4584317014286052	1.0095090092445456	0.6797518127231716
RDKit 1D descriptors	Cells_AreaShape_Zernike_8_0	60	lgbm	0.0146623852033972	0.0018575653835883	0.4599437370951531	0.4568731120344741	0.5955585196444134	0.496759078270574	0.7717243806207067	0.704428817457002
RDKit 1D descriptors	Cells_AreaShape_Zernike_8_2	60	xgboost	0.0283154266575872	-0.0714491237131136	0.4591155285283443	0.4641635329531842	0.5108228391329093	0.4473936792626561	0.7147187132941947	0.6697775753539561
RDKit 1D descriptors	Cells_AreaShape_Zernike_8_4	60	rf	0.0431329385568468	-0.0613970231418008	0.4905330375418282	0.4747636890346268	1.208315397153859	0.6601155202920765	1.099234004729593	0.8217042272599803
RDKit 1D descriptors	Cells_AreaShape_Zernike_8_6	60	xgb_limitdepth	0.2218372933215222	-0.0294596265032374	0.4650694097557419	0.4797505831559994	0.5166738775012972	0.695099551919554	0.7188003043274934	0.8337263051622841
RDKit 1D descriptors	Cells_AreaShape_Zernike_8_8	60	extra_tree	0.0168272971802992	0.0118638415781869	0.4999206047903554	0.4872659608618219	1.902267045024561	1.0168414594325217	1.3792269737155525	1.01486601380603
RDKit 1D descriptors	Cells_AreaShape_Zernike_9_1	60	lgbm	0.0384338338575372	-0.0083333880991731	0.4846288821457859	0.4641915687294895	1.3084967660598967	0.8196082991956573	1.1438954349327113	0.9130179182760224
RDKit 1D descriptors	Cells_AreaShape_Zernike_9_3	60	extra_tree	0.0806831277540166	-0.0662610568109824	0.4757911597356375	0.4608529550074776	0.9256768750564632	0.4980557892555232	0.962121029318278	0.7057306775644114
RDKit 1D descriptors	Cells_AreaShape_Zernike_9_5	60	extra_tree	0.0403945366564102	-0.0188548363433209	0.4833693577019318	0.4716409980198535	1.064775099054471	0.5138160115079294	1.0318794014101025	0.7168096061772118
RDKit 1D descriptors	Cells_AreaShape_Zernike_9_7	60	extra_tree	0.1049880017874155	0.0003660666662623	0.466591211108437	0.4541379974786828	0.672657535780422	0.4544767050382252	0.8201570189789403	0.6706621947964992
RDKit 1D descriptors	Cells_AreaShape_Zernike_9_9	60	lgbm	0.0162012896358751	-0.0058797848270091	0.5733615077153901	0.5194782568438103	9.800362376922598	1.5194006927965271	3.1305530464955544	1.1991308942321095
RDKit 1D descriptors	Cells_Correlation_Correlation_DNA_AGP	60	lgbm	0.2835737205476903	0.1058047983269748	0.5108644431161712	0.5204399816558065	0.8125428930233	1.1000007218824583	0.9014116113204332	1.0037490380549363
RDKit 1D descriptors	Cells_Correlation_Correlation_DNA_ER	60	lgbm	0.1056693958344197	0.02213686602341	0.4813736826061776	0.5123579469639159	0.5781534381473976	0.926808780687386	0.7603640168678405	0.9678037730809158
RDKit 1D descriptors	Cells_Correlation_Correlation_DNA_Mito	60	lgbm	0.0570561432708948	0.017266698239192	0.4971632727226669	0.497040570976886	0.8087431868664057	0.7151910838696908	0.899301499424084	0.851253575025231
RDKit 1D descriptors	Cells_Correlation_Correlation_DNA_RNA	60	lgbm	0.092627523151837	0.0124329402859837	0.468374656460931	0.4734712195356043	1.2299354121342587	0.9253651043122628	1.1090245318000225	0.9619589930512956
RDKit 1D descriptors	Cells_Correlation_Correlation_ER_AGP	60	xgb_limitdepth	0.1653466001967909	0.0709665640166262	0.5000950064586858	0.5265773634923816	0.6051778174638669	0.7114881445776605	0.7779317563024837	0.84989928790238
RDKit 1D descriptors	Cells_Correlation_Correlation_ER_RNA	60	lgbm	0.106245564597415	0.0192707059023954	0.4855273211356248	0.5040654625074594	0.6597679826522351	0.755360936870753	0.8122610311052938	0.8723893581489821
RDKit 1D descriptors	Cells_Correlation_Correlation_Mito_AGP	60	xgb_limitdepth	0.1655855905665784	0.0676792555398232	0.4868256074018859	0.498024886960658	0.5747662571874009	0.5576203706802105	0.7581334032921917	0.749438754713647
RDKit 1D descriptors	Cells_Correlation_Correlation_Mito_ER	60	lgbm	0.1521172513487197	0.0263093895582724	0.5449392259529988	0.5734432509059856	1.780420911194074	1.320362173317504	1.3343241402275814	1.1567419987965517
RDKit 1D descriptors	Cells_Correlation_Correlation_Mito_RNA	60	lgbm	0.0474728418884037	0.0237677550634541	0.4769220979304318	0.4610995036345928	0.5878723664885325	0.4493505753351266	0.766728352474677	0.6780865329350345
RDKit 1D descriptors	Cells_Correlation_Correlation_RNA_AGP	60	lgbm	0.0730494796308159	0.0353349052865524	0.5008532318398853	0.5090077955100452	0.6256067419068664	0.6234064287129912	0.7909530592309928	0.7995741073543617
RDKit 1D descriptors	Cells_Correlation_Costes_AGP_DNA	60	xgb_limitdepth	0.1479927229021992	0.0824414465070169	0.4743499060679225	0.4919123835006653	0.5482670781179707	0.5156293327738027	0.7404505912739693	0.7263687416146724
RDKit 1D descriptors	Cells_Correlation_Costes_AGP_ER	60	lgbm	0.4632013718682267	0.1102205999006273	0.3371826214764677	0.4284416778513383	0.2971948741281121	0.5130321638795607	0.5451558255472577	0.7198644120096982
RDKit 1D descriptors	Cells_Correlation_Costes_AGP_Mito	60	lgbm	0.1551336756102139	0.0487874939867435	0.4325463598070687	0.4823621549371581	1.0631094186957433	1.666406847986561	1.0310719755166189	1.3029515498828994
