descriptor	CP_feature	time_budget	ML_model	r2_score(train)	r2_score(test)	MAE(train)	MAE(test)	MSE(train)	MSE(test)	RMSE(train)	RMSE(test)
ECFP4 fingerprints	Cells_AreaShape_Area	60	rf	0.4440823549422728	0.038823070205755	0.4648770984873207	0.4898029533522384	0.7751330517872587	1.881456547161129	0.8804164081769823	1.371661965340269
ECFP4 fingerprints	Cells_AreaShape_Center_X	60	lgbm	0.0036943348398825	-0.0001833321870099	0.4188095744795563	0.4292902342100048	0.4544928266700951	0.4438809400681557	0.674160831456482	0.6662439043384606
ECFP4 fingerprints	Cells_AreaShape_Center_Y	60	lgbm	0.0099487065028293	-0.0025464770614833	0.4149757264032514	0.4150051457376024	0.3433807351307003	0.3843068896503323	0.5859869752227436	0.6199249064607198
ECFP4 fingerprints	Cells_AreaShape_Compactness	60	lgbm	0.1083383713447738	0.0070399627092354	0.5547457169866223	0.569916557345659	2.1751789909356862	2.1114088526362718	1.4748488027373132	1.447077977137924
ECFP4 fingerprints	Cells_AreaShape_Eccentricity	60	xgboost	0.2750974689495118	0.0213393052936355	0.4641332746727775	0.4851764697804965	0.6533484699716714	0.9432455868559276	0.8082997401779066	0.9712083128021132
ECFP4 fingerprints	Cells_AreaShape_Extent	60	rf	0.0362556358543828	0.0054551962458483	0.4939278254773925	0.5042700595638591	1.0099532405938096	1.462460630830321	1.0049642981687508	1.2093223849868655
ECFP4 fingerprints	Cells_AreaShape_FormFactor	60	rf	0.6138812310566618	-0.0600613944931471	0.5683774472901157	0.6713480732207425	4.209246209351542	20.17109479917353	2.051644757103808	4.491224198275291
ECFP4 fingerprints	Cells_AreaShape_MajorAxisLength	60	rf	0.2851269144308503	0.0734491807600347	0.5255063415325737	0.536307290022112	5.848371922775248	11.83006324647911	2.418340737525473	3.4394858985725048
ECFP4 fingerprints	Cells_AreaShape_MaxFeretDiameter	60	lgbm	0.0211415724367788	0.0099557007379018	0.6572818658146528	0.7039380423205812	92.3756612399915	80.1704575112764	9.611225792789986	8.933668904911652
ECFP4 fingerprints	Cells_AreaShape_MaximumRadius	60	xgboost	0.0225927211069749	0.0277555510936703	0.5315494891336164	0.5235655655182526	6.353510525587762	5.401786622164281	2.520617092219237	2.295204915009801
ECFP4 fingerprints	Cells_AreaShape_MeanRadius	60	lgbm	0.0427146158123904	0.0062218199287996	0.4877192301654957	0.4930302170585964	2.1503302587139825	2.927806031162842	1.4664004428238495	1.7110832917081629
ECFP4 fingerprints	Cells_AreaShape_MedianRadius	60	lgbm	0.0310397509097437	0.0099328932653464	0.4563869097219629	0.4622557583543669	1.0896222084267444	1.0511770573324388	1.0438497058613103	1.0252692608931755
ECFP4 fingerprints	Cells_AreaShape_MinFeretDiameter	60	lgbm	0.0087438407217462	0.0048945189650912	0.5512341034850861	0.5760014726062835	28.895212929377863	35.89629501167209	5.375426767185827	5.991351684859777
ECFP4 fingerprints	Cells_AreaShape_MinorAxisLength	60	lgbm	0.0475467098804194	0.0187833669901396	0.503916416314226	0.5436648106502177	6.914101580590571	12.15126559385242	2.6294679272793138	3.4858665484858165
ECFP4 fingerprints	Cells_AreaShape_Orientation	60	extra_tree	0.0471050808702628	-0.006456692012398	0.4062783838596821	0.4098168555083977	0.2961241537844886	0.2959860654787987	0.5441729079846668	0.5440460141190253
ECFP4 fingerprints	Cells_AreaShape_Perimeter	60	lgbm	0.1831559414104994	0.0810474103856666	0.4170953847305632	0.511953449110992	4.496902933484763	8.425117173844587	2.120590232337394	2.902605239064483
ECFP4 fingerprints	Cells_AreaShape_Solidity	60	lgbm	0.0049047958462552	0.0015388754315883	0.5131297370464666	0.5316554200145901	2.0101090604739262	3.097000515275981	1.4177831500176346	1.7598296835989502
ECFP4 fingerprints	Cells_AreaShape_Zernike_0_0	60	xgboost	0.4490208253272034	0.0786406370537738	0.4943733371763366	0.5227728479567773	0.8707611769210405	1.435690246840808	0.9331458497582468	1.1982029238992902
ECFP4 fingerprints	Cells_AreaShape_Zernike_1_1	60	xgboost	0.3830816368221605	-0.0324189813055901	0.4552006672735067	0.48849836204022	0.4545149734761916	0.8566869181580854	0.6741772567182844	0.9255738318243908
ECFP4 fingerprints	Cells_AreaShape_Zernike_2_0	60	xgboost	0.3625195320982771	0.0476590036944943	0.559535553643853	0.5981599783789266	1.9260341876875144	3.0607912383821634	1.38781633788031	1.7495117142740608
ECFP4 fingerprints	Cells_AreaShape_Zernike_2_2	60	lgbm	0.6031990727365628	0.0455217141510645	0.3999672542603474	0.50394983819597	0.2927949078946532	0.9560935651316704	0.541105265077557	0.9778003707974704
ECFP4 fingerprints	Cells_AreaShape_Zernike_3_1	60	lgbm	0.1137373220996432	0.0292569317892864	0.4508718908709783	0.4644759314059646	0.465876998172432	0.48646696692413	0.6825518281950698	0.6974718395205143
ECFP4 fingerprints	Cells_AreaShape_Zernike_3_3	60	xgboost	0.0489133552011884	0.0186976299007898	0.4665708208244131	0.4795398409718049	0.6682472388394135	0.7875578865578735	0.8174639067502696	0.8874445822460542
ECFP4 fingerprints	Cells_AreaShape_Zernike_4_0	60	lgbm	0.0604421027344763	0.0124211671324198	0.5077656176752223	0.5182537599804217	1.0510575140097056	0.9620764574075952	1.02521096073428	0.9808549624728394
ECFP4 fingerprints	Cells_AreaShape_Zernike_4_2	60	xgboost	0.2406834666072597	-0.0282075530584737	0.4841148725991024	0.4990450721240262	0.6515310501577317	0.9514820111683931	0.8071747333494351	0.9754393938981516
ECFP4 fingerprints	Cells_AreaShape_Zernike_4_4	60	lgbm	0.0277221453283434	0.0160437856264074	0.4796115179568669	0.4900287548512235	0.8966742034740801	0.9790054742631364	0.9469288270372171	0.9894470548054284
ECFP4 fingerprints	Cells_AreaShape_Zernike_5_1	60	xgboost	0.1941114353616327	0.0075972949482497	0.4750382782682641	0.4865143816245741	0.6847444044118881	1.2099843703182218	0.827492842513993	1.0999928955762497
ECFP4 fingerprints	Cells_AreaShape_Zernike_5_3	60	xgboost	0.2471266294241568	-0.0209180339695398	0.4576789622331103	0.4781460773676039	0.4524896270468468	0.639698167112128	0.6726734921541407	0.7998113321978678
ECFP4 fingerprints	Cells_AreaShape_Zernike_5_5	60	lgbm	0.0502151757811084	0.0247809411783698	0.4791119349020473	0.4792236472143234	1.2896018717574769	1.1825818977725673	1.1356063894490365	1.0874658145305385
ECFP4 fingerprints	Cells_AreaShape_Zernike_6_0	60	lgbm	0.0422990658035257	0.0014044852132201	0.4628384794046011	0.4578045487846058	0.4889266939810501	0.4486295208656797	0.699232932563284	0.6697981194850279
ECFP4 fingerprints	Cells_AreaShape_Zernike_6_2	60	lgbm	0.1093265079061632	0.0215003476954781	0.4723858975086554	0.4937765192471489	0.6880453218544604	0.949087088587104	0.8294849738569472	0.9742110082457004
ECFP4 fingerprints	Cells_AreaShape_Zernike_6_4	60	lgbm	0.0526513359575498	0.003019880205715	0.4628323065524962	0.4694416829739813	0.5360944899938652	0.4783151429487433	0.7321847376133056	0.6916033132864122
ECFP4 fingerprints	Cells_AreaShape_Zernike_6_6	60	lgbm	0.0110870748283248	0.0105257930927294	0.4894319209055939	0.5009862809664132	1.1673253263319898	1.527117233503701	1.0804283068912948	1.2357658489793693
ECFP4 fingerprints	Cells_AreaShape_Zernike_7_1	60	lgbm	0.235814745330259	0.0965875499060531	0.4731523073399787	0.4854314629290879	0.6825278181836959	0.6561006059296152	0.8261524182520413	0.8100003740305403
ECFP4 fingerprints	Cells_AreaShape_Zernike_7_3	60	lgbm	0.0468661875903704	0.0079376315233469	0.4687235535515109	0.4881550256548368	0.9098069482836324	1.111384033362726	0.9538380094563398	1.0542220038316057
