descriptor	CP_feature	time_budget	ML_model	r2_score(train)	r2_score(test)	MAE(train)	MAE(test)	MSE(train)	MSE(test)	RMSE(train)	RMSE(test)
Physicochemical properties	Cells_AreaShape_Area	60	xgboost	0.2039977188851474	0.2143863811754094	0.4054537399090856	0.434570164331764	1.4253099814285046	0.528926598838816	1.1938634685040432	0.7598585686515401
Physicochemical properties	Cells_AreaShape_Center_X	60	lgbm	0.0104392454337788	-0.0006710111878909	0.420154995446593	0.412373688861411	0.4905237746891394	0.3321533904741736	0.700374024853249	0.5761181348283292
Physicochemical properties	Cells_AreaShape_Center_Y	60	rf	0.0595907277809507	-0.0436325940093615	0.4118768853057694	0.4193911998636122	0.3320039661764903	0.3613808443174461	0.5761978533251321	0.6011496022767095
Physicochemical properties	Cells_AreaShape_Compactness	60	xgb_limitdepth	0.5133186859553511	-0.2030695328290295	0.515051303513234	0.5579868773682575	1.3791281724451163	1.1111519714445617	1.174362879371243	1.0417761978069044
Physicochemical properties	Cells_AreaShape_Eccentricity	60	xgb_limitdepth	0.3331645977841002	0.0036390666475795	0.4519657320825432	0.4786564076754004	0.6065399418008883	0.6325212516663387	0.7788067422672253	0.7736866407170402
Physicochemical properties	Cells_AreaShape_Extent	60	lgbm	0.1336856249001796	-0.019016275518322	0.4946196398641833	0.4895315418043143	1.1142279097625385	0.7020747067988499	1.0555699454619472	0.8378989836482975
Physicochemical properties	Cells_AreaShape_FormFactor	60	xgb_limitdepth	0.0484466229937551	0.0184870173651656	0.6166701026819591	0.5762135327604814	15.396282182585086	2.802202231030644	3.9238096516759176	1.6697928331794494
Physicochemical properties	Cells_AreaShape_MajorAxisLength	60	xgb_limitdepth	0.0002621789849368	-0.0010161339539715	0.5354267476646566	0.5028130571797024	11.609203566689745	2.787790835261937	3.407228135404165	1.676523797505323
Physicochemical properties	Cells_AreaShape_MaxFeretDiameter	60	extra_tree	0.0176663310344264	0.0005435363462273	0.6546547542756623	0.8138596353962068	65.90944274902824	239.79666142065864	8.118463078011025	15.142786048043735
Physicochemical properties	Cells_AreaShape_MaximumRadius	60	rf	0.0749186524424836	0.1057608417439618	0.5394778558973209	0.513399517424969	7.386570155502997	1.783647773743468	2.71782452625312	1.3355327677535538
Physicochemical properties	Cells_AreaShape_MeanRadius	60	xgb_limitdepth	0.0317058338872859	0.0016999628863115	0.4867918321400246	0.4800399337157726	2.8454192622349783	1.068575731166071	1.686837058590716	1.032471025798308
Physicochemical properties	Cells_AreaShape_MedianRadius	60	lgbm	0.0041505932571495	0.0021897246360208	0.466949941081362	0.4598144018384451	1.335067313677746	0.5560201405105898	1.155451129939188	0.7462072991737472
Physicochemical properties	Cells_AreaShape_MinFeretDiameter	60	xgboost	0.0085272305797812	0.0002460178923944	0.5580241345556285	0.5978285599598262	31.91662803477992	34.624218555772835	5.649480333161619	5.859991934738456
Physicochemical properties	Cells_AreaShape_MinorAxisLength	60	xgb_limitdepth	0.004595726034155	0.0031943502044357	0.527893062401827	0.5017963468292345	10.38145533980469	3.056211506913534	3.2220265889350896	1.587853416694263
Physicochemical properties	Cells_AreaShape_Orientation	60	extra_tree	0.0042406156102107	0.0002599402809806	0.4083899563313808	0.3960699175025968	0.3008378953495996	0.2780001894167343	0.5484869144743562	0.5263835386633797
Physicochemical properties	Cells_AreaShape_Perimeter	60	lgbm	0.051735590469606	0.0784055841620242	0.4720232589974345	0.48129122132572	7.4647682014659535	1.8036291302392164	2.7321727986102844	1.3591561483508643
Physicochemical properties	Cells_AreaShape_Solidity	60	lgbm	0.078802752230467	-0.0303239839158924	0.4971169433251685	0.5022237423945881	2.5209126351187354	0.7776104896685682	1.5877382136607834	0.8833673946727755
Physicochemical properties	Cells_AreaShape_Zernike_0_0	60	lgbm	0.2734203297425205	-0.0623412826307039	0.5076556811370264	0.5370689662392328	1.1817026419114038	1.1426921139075157	1.0870614710822033	1.0657612174124087
Physicochemical properties	Cells_AreaShape_Zernike_1_1	60	rf	0.0413840198860521	0.0043191671634587	0.4667370763086806	0.4747512445696871	0.6828446537130058	0.7444188567950113	0.8263441496815995	0.8627971121851367
Physicochemical properties	Cells_AreaShape_Zernike_2_0	60	xgboost	0.0921103584309327	-0.04472259708249	0.5691635395937786	0.5750291465723523	2.6370739797062206	2.243437118860459	1.6239070107940974	1.5112428632088208
Physicochemical properties	Cells_AreaShape_Zernike_2_2	60	xgboost	0.1548784939409661	-0.1178939501371196	0.4922524250381829	0.5033808399059323	0.6712478410334012	0.5499620636053856	0.8192971628373927	0.7924790942552936
Physicochemical properties	Cells_AreaShape_Zernike_3_1	60	xgboost	0.0349602529881384	0.0055888605186371	0.4554668395059491	0.4638342677432114	0.4837617374229775	0.5510074386836543	0.6955298249701285	0.7430001333339235
Physicochemical properties	Cells_AreaShape_Zernike_3_3	60	lgbm	0.041792086750536	0.0013298864263459	0.4515918184299957	0.4623103511274337	0.7062780261852464	0.4847465895157971	0.8404034901077257	0.695736273092661
Physicochemical properties	Cells_AreaShape_Zernike_4_0	60	rf	0.035762397247064	-0.003965827432822	0.5061041458669271	0.5103218604974786	0.9821590653798264	0.985743564055406	0.9910393863917956	0.9928461935543724
Physicochemical properties	Cells_AreaShape_Zernike_4_2	60	extra_tree	0.1442505282205651	-0.0049471613848846	0.4792830288661489	0.4932124512319665	0.7047021584769144	0.7650001844946813	0.8394654004048734	0.8746428896953781
Physicochemical properties	Cells_AreaShape_Zernike_4_4	60	lgbm	0.133773358494405	0.0218388056794078	0.4802617078720108	0.4766016758960923	0.8528159606157641	0.6972218530123966	0.9234803520464115	0.8035185306683024
Physicochemical properties	Cells_AreaShape_Zernike_5_1	60	lgbm	0.0839830487641559	0.0559317590545086	0.4762930664067424	0.4656310089570443	0.9215550653212636	0.5499606286947067	0.9599765962362122	0.7046657762487465
Physicochemical properties	Cells_AreaShape_Zernike_5_3	60	lgbm	0.040371955782587	0.0108812493777405	0.4561931430562359	0.4671877099210244	0.551900339931245	0.6526500426117617	0.7428999528410571	0.7990677005404486
Physicochemical properties	Cells_AreaShape_Zernike_5_5	60	lgbm	0.0427348865059996	0.0011749949253988	0.4780758460611533	0.5096344014242588	1.033528935465715	2.429728664208536	1.0166262516115323	1.5531983617586775
Physicochemical properties	Cells_AreaShape_Zernike_6_0	60	xgboost	0.0557408625089833	0.0026921833489512	0.4553721494606033	0.4617203654511826	0.4588962882674105	0.4847630361666829	0.6774188425689165	0.6927827093881794
Physicochemical properties	Cells_AreaShape_Zernike_6_2	60	rf	0.2186858515911036	-0.018371409296543	0.4713102521807656	0.4917977375087463	0.5910636154789286	0.7699463807123267	0.7688066177387709	0.8774658857826478
Physicochemical properties	Cells_AreaShape_Zernike_6_4	60	xgb_limitdepth	0.1154782523922731	-0.0003279286394441	0.4506673939536714	0.4786474103828123	0.4663561583806231	0.5891939277242588	0.6829027444524023	0.7701527348449627
Physicochemical properties	Cells_AreaShape_Zernike_6_6	60	lgbm	0.0558620024111745	0.0124475152764917	0.4885471368518276	0.4815975430308044	1.1245395431596024	1.133530840534989	1.0604430881285438	1.0644913230164847
Physicochemical properties	Cells_AreaShape_Zernike_7_1	60	extra_tree	0.0452294226265849	0.0021756559305853	0.4749400230484409	0.4838126553170427	0.7990231958014645	0.850024961351589	0.8938809740683961	0.9219679828234758
Physicochemical properties	Cells_AreaShape_Zernike_7_3	60	lgbm	0.013562835632179	-0.0008146515707876	0.4737838822126915	0.4938039918252665	0.8556915666188067	1.590247986984011	0.9250359812563004	1.2614072281972517
Physicochemical properties	Cells_AreaShape_Zernike_7_5	60	lgbm	0.0518345795890439	0.0058863303219237	0.462663868266193	0.4760571604972025	0.6628704809403313	0.6293257408071717	0.8141685826291329	0.7881674796685819
Physicochemical properties	Cells_AreaShape_Zernike_7_7	60	rf	0.1262241873399113	-0.0060099734755252	0.4630380503263295	0.4963086048168422	0.6661893972492161	1.7211048560769	0.8162042619646237	1.305576002410415
Physicochemical properties	Cells_AreaShape_Zernike_8_0	60	extra_tree	0.0148023493533279	-0.000983653518545	0.4571682201020233	0.4666426084715663	0.561656866724579	0.6349398081680313	0.7494377003624645	0.7931245268711417
Physicochemical properties	Cells_AreaShape_Zernike_8_2	60	rf	0.0269901605830004	-0.0059339280037054	0.4545626096172487	0.4591980634274614	0.4690567602063771	0.5099899865934997	0.6848771862212795	0.7141358320330241
Physicochemical properties	Cells_AreaShape_Zernike_8_4	60	xgb_limitdepth	0.0446434484466378	-0.0035501349604849	0.4675572830921806	0.4961976934952464	0.981006898235874	1.4951746238971615	0.9904579235060286	1.2216905525174866
Physicochemical properties	Cells_AreaShape_Zernike_8_6	60	extra_tree	0.0518187817958829	-0.0018401286820435	0.4681129166643233	0.461274603404659	0.6298775651799959	0.5247125038743564	0.7936482628847592	0.7255601913034505
Physicochemical properties	Cells_AreaShape_Zernike_8_8	60	lgbm	0.0423479664893691	0.0053736317872998	0.4989514307330517	0.4853871464622589	1.9004801369130813	1.0273246360145607	1.378579028171066	1.0134474905230182
Physicochemical properties	Cells_AreaShape_Zernike_9_1	60	lgbm	0.0183696008038463	-0.0025934195013521	0.4746716507702651	0.4920929837940025	1.151189298394503	1.805853151837702	1.0729348994205117	1.3481463875521074
Physicochemical properties	Cells_AreaShape_Zernike_9_3	60	lgbm	0.0278794244713155	0.0006857295996097	0.4638399456572945	0.4885288091382301	0.7040388435235042	1.780384199434624	0.8390702256208977	1.333828426936072
Physicochemical properties	Cells_AreaShape_Zernike_9_5	60	lgbm	0.0501645321267562	0.0083895142005375	0.4704463639175006	0.5036200732625132	0.7488693614375954	1.9726130944071287	0.8653723831031329	1.408401922749816
Physicochemical properties	Cells_AreaShape_Zernike_9_7	60	lgbm	0.0059377456023088	0.0035247968401338	0.4593482353654636	0.4795290917799314	0.6127782203557763	0.966670282797134	0.7828015204097245	0.981468867471211
Physicochemical properties	Cells_AreaShape_Zernike_9_9	60	lgbm	0.0100325534914732	-0.000545085952643	0.5382338354040577	0.6385046227243947	4.975203532810154	24.129655769300797	2.2305164273795777	4.914643425338538
Physicochemical properties	Cells_Correlation_Correlation_DNA_AGP	60	lgbm	0.0831410576309251	0.0431894525197613	0.5063187006383315	0.5152060767613167	1.0397723919859487	0.683762002515162	1.0196923026020883	0.8341782400986334
Physicochemical properties	Cells_Correlation_Correlation_DNA_ER	60	lgbm	0.0843815647307868	0.0232375405055955	0.490583280096845	0.5068433982140234	0.6521884410122262	0.64210067158077	0.8075818478719208	0.8059661032498107
Physicochemical properties	Cells_Correlation_Correlation_DNA_Mito	60	lgbm	0.1493027359691627	0.0112560703380831	0.4601904431230733	0.5069404161071827	0.7211384738802203	0.761900124393559	0.849198724610571	0.8733467283222215
Physicochemical properties	Cells_Correlation_Correlation_DNA_RNA	60	lgbm	0.062006845460129	0.0063380168655517	0.4712288184001083	0.4902982430274024	1.1107189169859484	1.1798336455472942	1.053906502962169	1.0876066076181
Physicochemical properties	Cells_Correlation_Correlation_ER_AGP	60	xgboost	0.1323107560102383	0.064013589074742	0.513365079813951	0.5331340866333647	0.6647594254092273	0.5919737996291322	0.8153278024262556	0.7801016402426687
Physicochemical properties	Cells_Correlation_Correlation_ER_RNA	60	xgboost	0.0103111380078109	0.0108638664146571	0.5050743266474982	0.5070831200290146	0.763529331447425	0.7014631304088041	0.8738016545231675	0.8375339577645817
Physicochemical properties	Cells_Correlation_Correlation_Mito_AGP	60	lgbm	0.1761063147880754	0.0639511276591989	0.4746131004084262	0.51298794323636	0.5508646382850989	0.6256233931982739	0.7422025587971918	0.7943737895474303
Physicochemical properties	Cells_Correlation_Correlation_Mito_ER	60	lgbm	0.1433097843676695	0.0116628472558417	0.587207142951687	0.6492519962023946	1.440408461725937	2.873814849099111	1.2001701803185818	1.6930387751535725
Physicochemical properties	Cells_Correlation_Correlation_Mito_RNA	60	lgbm	0.2551885938709891	0.0326851414069925	0.4147519835195585	0.4799283748663139	0.4360925881891472	0.600143579560805	0.660373067431696	0.7774939749855383
Physicochemical properties	Cells_Correlation_Correlation_RNA_AGP	60	lgbm	0.1505196225767926	0.0401128920251381	0.4760662604196724	0.503560819275742	0.5540639878394681	0.5651922152209108	0.7443547459642265	0.7529860261949551
Physicochemical properties	Cells_Correlation_Costes_AGP_DNA	60	lgbm	0.2745135758836982	0.1105517924135193	0.4368423972219212	0.4971119867014086	0.4649563567984617	0.5616805702357172	0.6818770833504098	0.7483478970260703
Physicochemical properties	Cells_Correlation_Costes_AGP_ER	60	lgbm	0.1580074057321929	0.0975827107592092	0.4164449131960129	0.4401769642798677	0.4822463364142643	0.5242551622224234	0.6944395844234863	0.7231868040023909
Physicochemical properties	Cells_Correlation_Costes_AGP_Mito	60	xgb_limitdepth	0.1383595696339351	0.074376127515645	0.4462602059201996	0.4849933156130767	1.3045027904742774	0.907516889574168	1.1421483224495308	0.9472107000256008
Physicochemical properties	Cells_Correlation_Costes_AGP_RNA	60	xgb_limitdepth	0.5985544183857479	0.1587633134893626	0.3852432889124886	0.5514613745101355	0.3435945225598846	0.6179355882929479	0.5861693633753684	0.7957413349430449
Physicochemical properties	Cells_Correlation_Costes_DNA_AGP	60	xgboost	0.3041057481283465	-0.0967480885443321	0.5511363040685825	0.578867324399725	1.65237213904338	3.0211321643420934	1.2854462801079554	1.8106597335205328
Physicochemical properties	Cells_Correlation_Costes_DNA_ER	60	lgbm	0.0800863458335835	0.0361233924744991	0.5201708109018084	0.5313097724478822	0.862226024608271	0.8730498389976799	0.9285612659422484	0.9512251734044064
Physicochemical properties	Cells_Correlation_Costes_DNA_Mito	60	lgbm	0.252081857321254	0.1120787931234179	0.5015793606832755	0.5406965221142866	0.7569130005853436	0.8905131322128822	0.8700074715686892	0.9687406915907476
Physicochemical properties	Cells_Correlation_Costes_DNA_RNA	60	extra_tree	0.5408157634064268	0.0200774582652275	0.4206116563528579	0.5103587454811563	0.4750546515663861	1.6568939459113554	0.6892420848775749	1.2872039255344725
Physicochemical properties	Cells_Correlation_Costes_ER_AGP	60	lgbm	0.3005726646720644	0.0614140842669629	0.4076875641275296	0.4978974227977525	0.5043955387103567	0.521997447535702	0.7102080953568163	0.7277648100954365
Physicochemical properties	Cells_Correlation_Costes_ER_DNA	60	lgbm	0.1684406747060857	0.061601154085678	0.4975398810385132	0.5687559328003888	1.4875036206062546	0.8482515794071737	1.2196325760679954	0.9328885464397818
Physicochemical properties	Cells_Correlation_Costes_ER_Mito	60	xgboost	0.3994950435505954	-0.0219814180423794	0.4020666220555908	0.4721674251935198	1.360968854964777	2.2466889840546216	1.1666056981537407	1.4705745136502195
Physicochemical properties	Cells_Correlation_Costes_ER_RNA	60	lgbm	0.2092674080232194	0.1063989395630978	0.3633094584830467	0.3850163735072268	0.4645597343593119	0.5279739926159356	0.6815861899710938	0.7266181890208472
Physicochemical properties	Cells_Correlation_Costes_Mito_AGP	60	lgbm	0.2190811734492277	0.0939592330348499	0.4217777093562224	0.4396403661536702	0.8339766230710053	0.6350141871186071	0.9132232055040024	0.8016000787781575
Physicochemical properties	Cells_Correlation_Costes_Mito_DNA	60	lgbm	0.1929986514678484	0.1140575699759316	0.4980567686935699	0.5117966820445297	0.792301577024695	0.6635562579540866	0.8901132383156061	0.8209798924106689
Physicochemical properties	Cells_Correlation_Costes_Mito_ER	60	xgb_limitdepth	0.2110638802414417	0.0227260125578179	0.4462856165673596	0.4830217430892422	0.8906486890566446	1.6942229966599098	0.9437418550942014	1.2690361623096498
Physicochemical properties	Cells_Correlation_Costes_Mito_RNA	60	xgb_limitdepth	0.2430132190058901	-0.011559670947647	0.3677452964443411	0.4106918319815012	0.4963531414757353	0.6079067891665283	0.7045233434569328	0.7982034786230456
Physicochemical properties	Cells_Correlation_Costes_RNA_AGP	60	xgb_limitdepth	0.4757091922832432	0.1297429975437202	0.4256179623371185	0.5491290091399036	0.3735933651452238	0.6435610837052194	0.6112228440963442	0.8078595892787862
Physicochemical properties	Cells_Correlation_Costes_RNA_DNA	60	xgb_limitdepth	0.4013229230798768	0.0522918646158863	0.4146968908668596	0.4758782438182049	0.4155322518122585	0.5508551864019975	0.644617911488859	0.7726644812277317
