data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	44	8	0	0	88	1	0	2	22	1.0	0.6666666666666666	1.0	1.0	1.0	0.3333333333333333	1.0	0.7999999999999999	0.5	1.0	0.9090909090909092	1.0	0.5527707983925666	1.0	0.6428571428571428	0.7286677598953247
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	174	1	0	7	88	0	1	3	21	0.5625	0.4772727272727273	1.0	0.0	0.125	0.0	0.2222222222222222	0.259047619047619	0.0	0.5625	0.6969696969696969	0.3402785236893603	-0.0753778361444409	0.1979166666666666	0.2688492063492063	9.14778269926707
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	177	13	5	0	114	0	2	2	29	0.9789915966386556	0.4677419354838709	0.7222222222222222	0.0	1.0	0.0	0.8387096774193548	0.5066666666666666	0.0	0.9789915966386556	0.8709677419354839	0.8317912903488953	-0.064516129032258	0.7222222222222222	0.2678571428571428	4.6865199446678165
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	10	0	0	13	119	0	1	2	30	0.5	0.4838709677419355	0.0	0.0	0.0	0.0	0.0	0.2715909090909091	0.0	0.5	0.5	0.0	-0.0449013255066937	0.0984848484848484	0.0859649122807017	16.435022167364757
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	117	8	1	0	79	0	0	2	20	0.99375	0.5	0.8888888888888888	0.0	1.0	0.0	0.9411764705882352	0.7142857142857143	0.0	0.99375	0.975	0.936897954837013	0.0	0.8888888888888888	0.8333333333333333	2.9731021761894225
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	12	7	0	1	80	0	0	2	20	0.9375	0.5	1.0	0.0	0.875	0.0	0.9333333333333332	0.6	0.0	0.9375	1.0	0.9296222517045284	0.0	0.8863636363636364	1.0	19.427555580933888
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	156	9	0	0	105	3	0	1	25	1.0	0.875	1.0	1.0	1.0	0.75	1.0	0.8	0.8571428571428571	1.0	1.0	1.0	0.8492077756084468	1.0	1.0	9.8018349925677
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	152	9	0	0	105	2	0	2	25	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.5466666666666666	0.6666666666666666	1.0	0.98	1.0	0.6804138174397716	1.0	0.9166666666666666	20.02377359469732
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	184	32	59	5	308	4	24	5	69	0.8520509610427867	0.5931899641577061	0.3516483516483517	0.1428571428571428	0.8648648648648649	0.4444444444444444	0.5	0.3525879917184265	0.2162162162162162	0.8520509610427867	0.6499402628434886	0.486157017593822	0.1184587086092401	0.3165045417520665	0.200505095068658	38.49931670029958
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	193	26	2	11	365	1	4	8	89	0.8486265557110244	0.5340501792114696	0.9285714285714286	0.2	0.7027027027027027	0.1111111111111111	0.7999999999999999	0.2557575757575757	0.1428571428571428	0.8486265557110244	0.6367980884109916	0.7918654907538303	0.0894625467923433	0.6797373752819298	0.2305091682375225	13.700411744912463
