data	target	roc_auc_score	pr_auc_score
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	0.9848484848484849	0.9166666666666665
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	0.9838709677419355	0.8333333333333333
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	0.975	0.8333333333333333
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	0.98	0.9166666666666666
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	0.6105137395459975	0.21534753368466292
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	G7ZKZ7	0.8636363636363636	0.4888888888888889
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	K7GSR7	0.7850467289719627	0.3042929605429605
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O08892	0.7575757575757576	0.4907407407407407
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14746	0.7474747474747474	0.321256038647343
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14965	0.9166666666666667	0.6428571428571428
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43353	1.0	1.0
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43570	0.9242424242424243	0.592989417989418
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60285	0.7083333333333333	0.7083333333333333
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60674	0.4861111111111111	0.41203703703703703
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60755	0.3448275862068966	0.07179487179487179
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60840	0.8250000000000001	0.29166666666666663
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O70212	0.6000000000000001	0.19281974153297682
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O70528	0.7439353099730459	0.5486576431698382
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O75030	0.9444444444444444	0.8095238095238095
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O76074	0.775	0.35
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O94806	1.0	1.0
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95069	0.9500000000000001	0.75
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95153	0.75	0.26666666666666666
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95180	0.8031250000000001	0.3561224489795918
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95264	0.9838709677419355	0.8333333333333333
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95342	0.7687074829931974	0.22950519689650123
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95819	0.8952380952380952	0.5093040293040293
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00519	0.9482758620689655	0.7
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00533	0.9013157894736842	0.6585748164878599
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00734	0.30000000000000004	0.09761904761904762
