data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	172	8	0	0	88	3	0	0	22	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9333333333333332	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.32847660779953
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	113	1	0	7	88	0	0	3	22	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.1943859649122807	0.0	0.5625	0.5909090909090909	0.3402785236893603	0.0	0.1979166666666666	0.1860962566844919	25.73828409910202
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	181	13	0	0	119	0	1	2	30	1.0	0.4838709677419355	1.0	0.0	1.0	0.0	1.0	0.711111111111111	0.0	1.0	0.7096774193548387	1.0	-0.0449013255066937	1.0	0.1428571428571428	2.911928876241048
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	158	0	0	13	119	0	0	2	31	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2929761904761904	0.0	0.5	0.3709677419354839	0.0	0.0	0.0984848484848484	0.0729442970822281	19.319012161095937
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	1	8	0	0	80	1	0	1	20	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.7142857142857143	0.6666666666666666	1.0	1.0	1.0	0.6900655593423543	1.0	1.0	11.604704546928406
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	100	7	1	1	79	0	0	2	20	0.93125	0.5	0.875	0.0	0.875	0.0	0.875	0.6	0.0	0.93125	1.0	0.8625	0.0	0.7769886363636364	1.0	13.592457405726115
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	45	9	1	0	104	4	1	0	24	0.9952380952380953	0.98	0.9	0.8	1.0	1.0	0.9473684210526316	0.9	0.888888888888889	0.9952380952380953	1.0	0.9441549509633318	0.8763560920082657	0.9	1.0	11.90147560040156
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	24	9	0	0	105	3	0	1	25	1.0	0.875	1.0	1.0	1.0	0.75	1.0	0.8666666666666666	0.8571428571428571	1.0	1.0	1.0	0.8492077756084468	1.0	1.0	29.889284121990205
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	190	32	19	5	348	2	6	7	87	0.9065468738493262	0.578853046594982	0.6274509803921569	0.25	0.8648648648648649	0.2222222222222222	0.7272727272727273	0.4055633255633255	0.2352941176470588	0.9065468738493262	0.6738351254480286	0.7061583112423324	0.1663804451491389	0.5550365449899521	0.2069659406025612	7.800084849198659
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	161	28	2	9	365	0	3	9	90	0.8756535827380514	0.4838709677419355	0.9333333333333332	0.0	0.7567567567567568	0.0	0.835820895522388	0.2126984126984127	0.0	0.8756535827380515	0.7037037037037036	0.8265231012591725	-0.0541530361073882	0.7285835340290786	0.1936699746849879	20.266437164942424
