data	target	roc_auc_score	pr_auc_score
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	1.0	1.0
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	0.9838709677419355	0.8333333333333333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	0.975	0.8333333333333333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	0.99	0.95
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	0.6379928315412187	0.22836408129309058
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	G7ZKZ7	0.9393939393939393	0.5888888888888888
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	K7GSR7	0.8177570093457944	0.26820330116042457
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O08892	0.6969696969696969	0.3041958041958042
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14746	0.7171717171717171	0.42337164750957856
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14965	0.875	0.5777777777777777
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43353	1.0	1.0
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43570	0.9264069264069265	0.5944139194139194
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60285	0.7083333333333333	0.7083333333333333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60674	0.4861111111111111	0.41203703703703703
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60755	0.3793103448275862	0.0757142857142857
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60840	0.8	0.3611111111111111
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O70212	0.6000000000000001	0.19281974153297682
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O70528	0.7547169811320755	0.5510964260964261
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O75030	0.9444444444444444	0.8095238095238095
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O76074	0.775	0.35
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O94806	1.0	1.0
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95069	0.9249999999999999	0.7
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95153	0.75	0.26666666666666666
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95180	0.821875	0.40186267633076145
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95264	0.9838709677419355	0.8333333333333333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95342	0.7687074829931974	0.22950519689650123
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95819	0.8523809523809525	0.4727272727272727
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00519	0.9482758620689655	0.7
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00533	0.9039473684210526	0.6598534798534798
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00734	0.65	0.18333333333333335
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00750	0.7121212121212122	0.5
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00915	1.0	1.0
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00918	1.0	0.9999999999999999
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P01375	0.9655172413793103	0.75
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P03372	0.953125	0.8500000000000001
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04150	1.0	1.0
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04156	0.5151515151515151	0.18095238095238095
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04278	0.975	0.8333333333333333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04626	0.9191919191919192	0.5873015873015872
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04798	0.7172897196261683	0.3333904300336338
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P05164	0.8585858585858586	0.28968253968253965
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P05177	0.7488152564396544	0.34613609182052085
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P05181	0.89375	0.5685897435897436
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P05186	0.9393939393939393	0.7777777777777777
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P06239	0.8113207547169812	0.5326127819548871
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P06241	0.6980519480519479	0.2639622282479426
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P06493	0.7727272727272727	0.3547008547008547
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07333	0.7121212121212122	0.23095238095238094
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07550	0.9237068965517242	0.8436850118835413
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07900	0.5922249793217534	0.34552566540127844
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07947	0.8333333333333334	0.35555555555555557
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07949	0.8870967741935484	0.375
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08172	0.8830985915492958	0.7063451313451313
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08173	0.9243918474687706	0.6764957264957263
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08183	0.7837514934289127	0.5818181818181818
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08581	0.7424242424242423	0.48333333333333334
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08588	0.9372979961215255	0.8463046757164403
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08659	0.629032258064516	0.11212121212121212
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08684	0.6541432584269664	0.15435592708718607
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08908	0.9459418534221683	0.6569974143686854
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08912	0.9297142857142857	0.5996414078535046
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08913	0.9023809523809523	0.46947478692466105
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P09467	0.9500000000000001	0.75
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P09619	0.986842105263158	0.9166666666666666
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P09917	0.9516129032258064	0.7
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P0DMS8	0.9416666666666667	0.8257142857142856
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P0DTD1	0.8225806451612903	0.5769230769230769
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10275	0.6523809523809524	0.356969696969697
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10608	0.894878706199461	0.7405913978494623
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10632	0.7552311435523115	0.2888144170156995
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10635	0.7979614124499455	0.3506288971413313
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10721	0.93125	0.7589285714285714
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11229	0.933965844402277	0.6405017144720236
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11309	0.9187500000000001	0.5833333333333333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11362	1.0	1.0
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11511	0.8333333333333334	0.6201978375891419
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11712	0.6263824528884769	0.14732728465033157
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P12931	0.9310344827586207	0.6666666666666666
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P13569	0.9838709677419355	0.8333333333333333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P13945	0.986111111111111	0.9242424242424242
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14061	0.975	0.8333333333333333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14416	0.9397677793904209	0.6810384524167081
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14607	0.5986842105263158	0.3492951127819549
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14867	0.7999999999999999	0.32291666666666663
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14902	0.9166666666666666	0.6333333333333333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P15121	0.99	0.95
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P15538	0.40909090909090906	0.13474025974025974
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P15823	0.9024861878453039	0.5939705195799122
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P16234	0.875	0.3666666666666667
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P16591	0.9027777777777777	0.625
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P17252	0.6499999999999999	0.42055555555555557
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P17861	0.7747747747747749	0.44999999999999996
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P17948	0.9444444444444444	0.5888888888888889
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18031	0.6969696969696969	0.4658119658119658
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18089	0.937526382439848	0.6561318199348506
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18507	0.861111111111111	0.3694444444444444
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18825	0.935959595959596	0.6368494543324387
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18841	0.9700000000000001	0.8541666666666666
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18901	0.9607758620689655	0.7848395324038707
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P19838	0.9116161616161618	0.5954365079365078
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P20309	0.920995670995671	0.7824345705648226
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P20813	0.7230769230769231	0.33829966329966327
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P20815	0.73125	0.14221312456606575
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21397	0.8214285714285714	0.5365388579674294
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21452	0.9137931034482758	0.41666666666666663
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21554	0.826530612244898	0.5901633089133089
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21728	0.9482828282828282	0.7196747047912493
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21731	0.22580645161290325	0.05721003134796238
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21917	0.89937106918239	0.6612571703410367
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21918	0.8231780167264038	0.3564199742188223
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P22303	0.9279279279279279	0.6555555555555556
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P22748	0.8214285714285714	0.676446520958716
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23219	0.8775510204081632	0.40438034188034183
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23280	0.8537414965986394	0.857142857142857
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23576	0.8676470588235294	0.5588235294117647
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23975	0.9325084364454443	0.786260653686762
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P24462	0.7694444444444445	0.26783955778520996
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P24557	0.74	0.5037878787878788
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P24941	0.7361111111111112	0.3366013071895425
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P25021	0.7697368421052632	0.4760731137142427
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P25100	0.865546218487395	0.542526876029891
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P27338	0.73	0.27400210084033616
