data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting, ECFP4 fingerprints	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	192	8	0	0	88	1	0	2	22	1.0	0.6666666666666666	1.0	1.0	1.0	0.3333333333333333	1.0	0.5999999999999999	0.5	1.0	0.5	1.0	0.5527707983925666	1.0	0.4246153846153846	2.098251450061798
Cell Painting, ECFP4 fingerprints	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	171	0	0	8	88	0	0	3	22	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2919306184012066	0.0	0.5	0.4696969696969696	0.0	0.0	0.0833333333333333	0.1982323232323232	22.718940862019856
Cell Painting, ECFP4 fingerprints	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	127	13	0	0	119	0	2	2	29	1.0	0.4677419354838709	1.0	0.0	1.0	0.0	1.0	0.6933333333333332	0.0	1.0	0.7903225806451613	1.0	-0.064516129032258	1.0	0.1825396825396825	5.813867692152659
Cell Painting, ECFP4 fingerprints	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	89	0	0	13	119	0	0	2	31	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2946666666666666	0.0	0.5	0.2096774193548387	0.0	0.0	0.0984848484848484	0.0566188197767145	19.017246699333192
Cell Painting, ECFP4 fingerprints	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	137	8	0	0	80	2	0	0	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6476190476190476	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.530937031904857
Cell Painting, ECFP4 fingerprints	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	133	8	1	0	79	2	0	0	20	0.99375	1.0	0.8888888888888888	1.0	1.0	1.0	0.9411764705882352	0.4	1.0	0.99375	1.0	0.936897954837013	1.0	0.8888888888888888	1.0	26.620366553465526
Cell Painting, ECFP4 fingerprints	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	96	9	2	0	103	4	2	0	23	0.9904761904761904	0.96	0.8181818181818182	0.6666666666666666	1.0	1.0	0.9	0.9333333333333332	0.8	0.9904761904761904	1.0	0.895878006537387	0.7831560082980488	0.8181818181818182	1.0	5.150121267636617
Cell Painting, ECFP4 fingerprints	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	6	9	2	0	103	4	2	0	23	0.9904761904761904	0.96	0.8181818181818182	0.6666666666666666	1.0	1.0	0.9	0.8933333333333333	0.8	0.9904761904761904	1.0	0.895878006537387	0.7831560082980488	0.8181818181818182	1.0	27.90790279706319
Cell Painting, ECFP4 fingerprints	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	156	36	12	1	355	1	5	8	88	0.9701377126445246	0.5286738351254481	0.75	0.1666666666666666	0.972972972972973	0.1111111111111111	0.8470588235294119	0.3664102564102564	0.1333333333333333	0.9701377126445246	0.6953405017921147	0.8381917118786384	0.0691301129820283	0.7322049772544823	0.1818208807563636	6.398668976624807
Cell Painting, ECFP4 fingerprints	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	144	28	2	9	365	1	3	8	90	0.8756535827380514	0.5394265232974911	0.9333333333333332	0.25	0.7567567567567568	0.1111111111111111	0.835820895522388	0.2165384615384615	0.1538461538461538	0.8756535827380515	0.6403823178016727	0.8265231012591725	0.1152227332310633	0.7285835340290786	0.2288049836952513	13.020538091659546
