data	target	roc_auc_score	pr_auc_score
Cell Painting, ECFP4 fingerprints	A0A5F9DUN4	0.9696969696969697	0.8055555555555556
Cell Painting, ECFP4 fingerprints	A5X5Y0	1.0	1.0
Cell Painting, ECFP4 fingerprints	A6YCJ1	0.775	0.35
Cell Painting, ECFP4 fingerprints	B0FL73	0.98	0.8875
Cell Painting, ECFP4 fingerprints	C4YTQ8	0.6762246117084827	0.16655987876388606
Cell Painting, ECFP4 fingerprints	G7ZKZ7	0.5454545454545454	0.42857142857142855
Cell Painting, ECFP4 fingerprints	K7GSR7	0.8539719626168224	0.30654308974529276
Cell Painting, ECFP4 fingerprints	O08892	0.4242424242424242	0.14239028944911297
Cell Painting, ECFP4 fingerprints	O14746	0.7474747474747474	0.4273504273504274
Cell Painting, ECFP4 fingerprints	O14965	0.8888888888888888	0.6555555555555554
Cell Painting, ECFP4 fingerprints	O43353	0.9583333333333333	0.7555555555555555
Cell Painting, ECFP4 fingerprints	O43570	0.8852813852813852	0.726104209799862
Cell Painting, ECFP4 fingerprints	O60285	0.7222222222222222	0.601010101010101
Cell Painting, ECFP4 fingerprints	O60674	0.8472222222222222	0.5396825396825397
Cell Painting, ECFP4 fingerprints	O60755	0.7241379310344829	0.17142857142857143
Cell Painting, ECFP4 fingerprints	O60840	0.85	0.625
Cell Painting, ECFP4 fingerprints	O70212	0.35	0.15590724374654777
Cell Painting, ECFP4 fingerprints	O70528	0.797843665768194	0.5648621553884712
Cell Painting, ECFP4 fingerprints	O75030	0.8055555555555556	0.7254901960784313
Cell Painting, ECFP4 fingerprints	O76074	0.5	0.12692307692307692
Cell Painting, ECFP4 fingerprints	O94806	0.975	0.8333333333333333
Cell Painting, ECFP4 fingerprints	O95069	0.9249999999999999	0.7
Cell Painting, ECFP4 fingerprints	O95153	0.725	0.225
Cell Painting, ECFP4 fingerprints	O95180	0.853125	0.44833333333333336
Cell Painting, ECFP4 fingerprints	O95264	1.0	1.0
Cell Painting, ECFP4 fingerprints	O95342	0.5816326530612245	0.16245513020022823
Cell Painting, ECFP4 fingerprints	O95819	0.6714285714285714	0.3607041107041107
Cell Painting, ECFP4 fingerprints	P00519	0.5862068965517242	0.20833333333333331
Cell Painting, ECFP4 fingerprints	P00533	0.8447368421052631	0.6151666666666666
Cell Painting, ECFP4 fingerprints	P00734	0.925	0.5
Cell Painting, ECFP4 fingerprints	P00750	0.6515151515151515	0.20740740740740743
Cell Painting, ECFP4 fingerprints	P00915	0.8444444444444444	0.6727025898078529
Cell Painting, ECFP4 fingerprints	P00918	0.9828947368421053	0.8992307692307692
Cell Painting, ECFP4 fingerprints	P01375	0.8965517241379309	0.3333333333333333
Cell Painting, ECFP4 fingerprints	P03372	0.946875	0.8454545454545455
Cell Painting, ECFP4 fingerprints	P04150	0.967741935483871	0.5833333333333333
Cell Painting, ECFP4 fingerprints	P04156	0.30303030303030304	0.11143790849673202
Cell Painting, ECFP4 fingerprints	P04278	1.0	1.0
