data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	193	8	2	0	86	0	1	3	21	0.9886363636363636	0.4772727272727273	0.8	0.0	1.0	0.0	0.888888888888889	0.2476190476190476	0.0	0.9886363636363636	0.4090909090909091	0.8842048302391149	-0.0753778361444409	0.8	0.1281045751633986	1.1704417626063028
Cell Painting	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	48	0	0	8	88	0	0	3	22	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2352669552669552	0.0	0.5	0.3484848484848484	0.0	0.0	0.0833333333333333	0.1327561327561327	19.894220876693726
Cell Painting	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	174	13	6	0	113	0	5	2	26	0.9747899159663864	0.4193548387096774	0.6842105263157895	0.0	1.0	0.0	0.8125000000000001	0.4233333333333333	0.0	0.9747899159663864	0.6451612903225805	0.8060474654668802	-0.1073346976852729	0.6842105263157895	0.1166666666666666	5.217928624153137
Cell Painting	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	72	0	1	13	118	0	0	2	31	0.4957983193277311	0.5	0.0	0.0	0.0	0.0	0.0	0.2777777777777778	0.0	0.4957983193277311	0.4354838709677419	-0.0288776964940325	0.0	0.0984848484848484	0.1	12.75540101925532
Cell Painting	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	13	8	0	0	80	0	1	2	19	1.0	0.475	1.0	0.0	1.0	0.0	1.0	0.2	0.0	1.0	0.425	1.0	-0.0690065559342354	1.0	0.1476190476190476	3.27105519771576
Cell Painting	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	110	0	1	8	79	0	0	2	20	0.49375	0.5	0.0	0.0	0.0	0.0	0.0	0.1524535977625222	0.0	0.49375	0.775	-0.0339031751810405	0.0	0.0909090909090909	0.2777777777777778	20.366604514916737
Cell Painting	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	110	9	0	0	105	0	0	4	25	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.2	0.0	1.0	0.7200000000000001	1.0	0.0	1.0	0.52832674571805	1.788810932636261
Cell Painting	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	146	4	29	5	76	0	7	4	18	0.584126984126984	0.36	0.1212121212121212	0.0	0.4444444444444444	0.0	0.1904761904761904	0.1914871794871795	0.0	0.5841269841269842	0.3249999999999999	0.1000418560970153	-0.2256304299271064	0.0977317029948608	0.1202020202020201	13.293235556284587
Cell Painting	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	177	33	46	4	321	3	21	6	72	0.8832756462184255	0.553763440860215	0.4177215189873418	0.125	0.8918918918918919	0.3333333333333333	0.5689655172413792	0.3484108162369032	0.1818181818181818	0.8832756462184256	0.6320191158900835	0.5574679298516236	0.0718996635678813	0.382463425952585	0.1391213565407113	163.27434713045756
Cell Painting	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	191	25	3	12	364	0	3	9	90	0.8337506443773474	0.4838709677419355	0.8928571428571429	0.0	0.6756756756756757	0.0	0.7692307692307693	0.1942857142857142	0.0	0.8337506443773474	0.6738351254480287	0.7580765534635316	-0.0541530361073882	0.6329848235788831	0.1478079401547492	16.381954526901247
Cell Painting	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	89	8	9	0	79	1	3	2	19	0.9488636363636364	0.5984848484848485	0.4705882352941176	0.25	1.0	0.3333333333333333	0.6399999999999999	0.3542857142857142	0.2857142857142857	0.9488636363636364	0.5303030303030303	0.6499691477663601	0.1745949755388323	0.4705882352941176	0.1835839598997493	4.047624838352204
Cell Painting	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	183	1	1	7	87	0	1	3	21	0.5568181818181819	0.4772727272727273	0.5	0.0	0.125	0.0	0.2	0.1568627450980392	0.0	0.5568181818181819	0.3181818181818181	0.2198997485667712	-0.0753778361444409	0.1354166666666666	0.1137085137085137	19.573743438720705
Cell Painting	K7GSR7	52 (1.27%)	4048 (412584.62%)	0.0128	GradientBoosting	200	129	42	27	2	386	3	12	5	95	0.9445850759410082	0.6314252336448598	0.6086956521739131	0.2	0.9545454545454546	0.375	0.7433628318584071	0.3975518341307815	0.2608695652173913	0.9445850759410082	0.7616822429906541	0.7325644368893703	0.1985637683301209	0.5854040355990695	0.2156197593697593	15.435156194368998
Cell Painting	K7GSR7	52 (1.27%)	4048 (412584.62%)	0.0128	XGBoost	200	172	16	3	28	410	0	6	8	101	0.6781862205591019	0.4719626168224299	0.8421052631578947	0.0	0.3636363636363636	0.0	0.5079365079365079	0.1701098901098901	0.0	0.6781862205591019	0.538551401869159	0.5266130537892423	-0.06415278000234	0.367489242302095	0.0806670446303978	15.908607057730356
Cell Painting	O08892	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	165	8	0	0	88	0	2	3	20	1.0	0.4545454545454545	1.0	0.0	1.0	0.0	1.0	0.3333333333333333	0.0	1.0	0.4848484848484848	1.0	-0.1088931012960941	1.0	0.1733333333333333	4.411030034224193
Cell Painting	O08892	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	174	0	0	8	88	0	0	3	22	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.5	0.1212121212121211	0.0	0.0	0.0833333333333333	0.0902600170502983	29.13123648166657
