data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	107	8	0	0	88	3	0	0	22	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7999999999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7868090867996216
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	165	0	0	8	88	0	0	3	22	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.6333333333333333	0.0	0.5	1.0	0.0	0.0	0.0833333333333333	1.0	14.147923930486042
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	152	13	1	0	118	2	1	0	30	0.9957983193277312	0.9838709677419356	0.9285714285714286	0.6666666666666666	1.0	1.0	0.962962962962963	0.4766666666666667	0.8	0.9957983193277312	1.0	0.959566728957882	0.8032193289024988	0.9285714285714286	1.0	4.409847430388132
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	64	13	0	0	119	2	0	0	31	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3542857142857143	1.0	1.0	1.0	1.0	1.0	1.0	1.0	24.53384353319804
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	20	8	0	0	80	1	0	1	20	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.7142857142857143	0.6666666666666666	1.0	0.975	1.0	0.6900655593423543	1.0	0.8333333333333333	5.157673199971517
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	49	8	0	0	80	1	0	1	20	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.7142857142857143	0.6666666666666666	1.0	1.0	1.0	0.6900655593423543	1.0	1.0	15.708251559734345
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	164	9	0	0	105	2	0	2	25	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.8	0.6666666666666666	1.0	1.0	1.0	0.6804138174397716	1.0	1.0	8.13693825006485
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	94	9	0	0	105	2	0	2	25	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.6799999999999999	0.6666666666666666	1.0	1.0	1.0	0.6804138174397716	1.0	1.0	14.232977636655171
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	4	30	100	7	267	4	22	5	71	0.7691656233890567	0.6039426523297491	0.2307692307692307	0.1538461538461538	0.8108108108108109	0.4444444444444444	0.3592814371257485	0.2462863663861849	0.2285714285714286	0.7691656233890567	0.6069295101553165	0.3323812564836516	0.1352985209925429	0.2044369197834544	0.2566103766922816	1.2375601013501485
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	34	32	11	5	356	1	5	8	88	0.917446056410634	0.5286738351254481	0.7441860465116279	0.1666666666666666	0.8648648648648649	0.1111111111111111	0.8	0.1	0.1333333333333333	0.917446056410634	0.5041816009557946	0.7808658386903251	0.0691301129820283	0.6559966021743595	0.2077854679862029	36.58115694920222
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	44	8	0	0	88	1	1	2	21	1.0	0.6439393939393939	1.0	0.5	1.0	0.3333333333333333	1.0	0.4933333333333333	0.4	1.0	0.8939393939393939	1.0	0.3448281541042982	1.0	0.625	15.48289856115977
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	45	5	3	3	85	1	0	2	22	0.7954545454545454	0.6666666666666666	0.625	1.0	0.625	0.3333333333333333	0.625	0.5333333333333333	0.5	0.7954545454545454	0.6818181818181818	0.5909090909090909	0.5527707983925666	0.421875	0.5955555555555555	6.229946923255921
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	K7GSR7	52 (1.27%)	4048 (412584.62%)	0.0128	GradientBoosting	200	188	44	17	0	396	5	14	3	93	0.9794188861985472	0.7470794392523364	0.7213114754098361	0.2631578947368421	1.0	0.625	0.8380952380952381	0.5478356426182514	0.3703703703703703	0.9794188861985472	0.8714953271028036	0.8316373538306397	0.3385252504312457	0.7213114754098361	0.3353174603174603	38.50430317719778
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	K7GSR7	52 (1.27%)	4048 (412584.62%)	0.0128	XGBoost	200	181	41	17	3	396	4	8	4	99	0.9453279771076382	0.7126168224299065	0.7068965517241379	0.3333333333333333	0.9318181818181818	0.5	0.803921568627451	0.5251947515848444	0.4	0.945327977107638	0.8925233644859814	0.7892432841003217	0.3538793866995978	0.665263610983448	0.4153220810197554	23.47650674978892
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O08892	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	12	8	1	0	87	1	0	2	22	0.994318181818182	0.6666666666666666	0.8888888888888888	1.0	1.0	0.3333333333333333	0.9411764705882352	0.3333333333333333	0.5	0.994318181818182	0.893939393939394	0.937436866561092	0.5527707983925666	0.8888888888888888	0.7666666666666666	9.450788446267444
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O08892	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	111	0	0	8	88	0	0	3	22	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.5	0.4696969696969696	0.0	0.0	0.0833333333333333	0.1446950710108605	11.391271646817524
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14746	16 (0.39%)	4084 (433925.0%)	0.0039	GradientBoosting	200	16	13	127	0	0	3	33	0	0	0.5	0.5	0.0928571428571428	0.0833333333333333	1.0	1.0	0.1699346405228758	0.1259824046920821	0.1538461538461538	0.5	0.5	0.0	0.0	0.0928571428571428	0.0833333333333333	0.3765389919281006
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14746	16 (0.39%)	4084 (433925.0%)	0.0039	XGBoost	200	162	0	1	13	126	0	0	3	33	0.4960629921259842	0.5	0.0	0.0	0.0	0.0	0.0	0.1805278592375366	0.0	0.4960629921259842	0.1868686868686868	-0.0271370362977339	0.0	0.0928571428571428	0.0660800552104899	4.53386215766271
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14965	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	57	9	3	0	93	2	3	1	21	0.984375	0.7708333333333333	0.75	0.4	1.0	0.6666666666666666	0.8571428571428571	0.4	0.5	0.984375	0.611111111111111	0.852386356061616	0.4382299106011073	0.75	0.337037037037037	3.5485976298650104
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14965	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	21	3	1	6	95	0	0	3	24	0.6614583333333334	0.5	0.75	0.0	0.3333333333333333	0.0	0.4615384615384615	0.3333333333333333	0.0	0.6614583333333334	0.4305555555555555	0.4722333445270127	0.0	0.3071428571428571	0.1303258145363408	15.02113968928655
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43353	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	32	9	2	0	94	1	0	2	24	0.9895833333333331	0.6666666666666666	0.8181818181818182	1.0	1.0	0.3333333333333333	0.9	0.76	0.5	0.9895833333333331	0.8472222222222221	0.8950622121597827	0.554700196225229	0.8181818181818182	0.6324786324786325	6.772262640794119
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43353	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	14	9	1	0	95	0	0	3	24	0.9947916666666669	0.5	0.9	0.0	1.0	0.0	0.9473684210526316	0.55	0.0	0.9947916666666669	0.875	0.9437293044088436	0.0	0.9	0.75	9.121653966108958
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43570	33 (0.8%)	4067 (419024.24%)	0.0081	GradientBoosting	200	177	26	4	0	260	3	3	4	63	0.9924242424242424	0.6915584415584416	0.8666666666666667	0.5	1.0	0.4285714285714285	0.9285714285714286	0.7164335664335664	0.4615384615384615	0.9924242424242424	0.9199134199134198	0.923869770874312	0.410713758985647	0.8666666666666667	0.4487767036639217	21.47050445874532
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43570	33 (0.8%)	4067 (419024.24%)	0.0081	XGBoost	200	84	20	3	6	261	2	1	5	65	0.8789335664335665	0.6352813852813852	0.8695652173913043	0.6666666666666666	0.7692307692307693	0.2857142857142857	0.8163265306122449	0.6828571428571429	0.4	0.8789335664335665	0.9458874458874458	0.8012391503530211	0.401309441942406	0.689585976242648	0.6399659863945578	22.93929572105408
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60285	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	198	9	5	0	91	2	8	1	16	0.9739583333333331	0.6666666666666666	0.6428571428571429	0.2	1.0	0.6666666666666666	0.782608695652174	0.3714285714285714	0.3076923076923076	0.9739583333333331	0.75	0.7806247497997999	0.2169304578186561	0.6428571428571429	0.3588235294117647	9.440446225802104
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60285	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	82	9	96	0	0	3	24	0	0	0.5	0.5	0.0857142857142857	0.1111111111111111	1.0	1.0	0.1578947368421052	0.2466200466200466	0.1999999999999999	0.5	0.5763888888888888	0.0	0.0	0.0857142857142857	0.1452621452621452	9.299870808919271
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60674	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	46	9	0	0	96	0	0	3	24	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.3	0.0	1.0	0.4444444444444444	1.0	0.0	1.0	0.4067460317460317	3.264071611563365
