data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
RDKit 1D descriptors	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	14	8	2	0	86	2	0	1	22	0.9886363636363636	0.8333333333333333	0.8	1.0	1.0	0.6666666666666666	0.888888888888889	0.4666666666666666	0.8	0.9886363636363636	1.0	0.8842048302391149	0.7985494095046906	0.8	1.0	0.6497212052345276
RDKit 1D descriptors	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	144	1	0	7	88	0	0	3	22	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.5082051282051282	0.0	0.5625	1.0	0.3402785236893603	0.0	0.1979166666666666	1.0	7.506552306811015
RDKit 1D descriptors	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	70	13	1	0	118	2	1	0	30	0.9957983193277312	0.9838709677419356	0.9285714285714286	0.6666666666666666	1.0	1.0	0.962962962962963	0.5977777777777777	0.8	0.9957983193277312	1.0	0.959566728957882	0.8032193289024988	0.9285714285714286	1.0	5.243148108323415
RDKit 1D descriptors	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	24	13	0	0	119	1	1	1	30	1.0	0.7338709677419355	1.0	0.5	1.0	0.5	1.0	0.4942857142857143	0.5	1.0	0.9838709677419356	1.0	0.4677419354838709	1.0	0.8333333333333333	13.313365646203358
RDKit 1D descriptors	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	189	8	0	0	80	0	0	2	20	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.7777777777777778	0.0	1.0	0.925	1.0	0.0	1.0	0.7	3.7788459142049153
RDKit 1D descriptors	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	104	8	0	0	80	0	0	2	20	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.75	0.0	1.0	0.975	1.0	0.0	1.0	0.8333333333333333	11.397395074367523
RDKit 1D descriptors	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	35	9	5	0	100	3	0	1	25	0.9761904761904762	0.875	0.6428571428571429	1.0	1.0	0.75	0.782608695652174	0.8800000000000001	0.8571428571428571	0.9761904761904762	0.97	0.7824607964359517	0.8492077756084468	0.6428571428571429	0.8928571428571428	1.1824257810910543
RDKit 1D descriptors	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	28	8	0	1	105	2	0	2	25	0.9444444444444444	0.75	1.0	1.0	0.8888888888888888	0.5	0.9411764705882352	0.6333333333333333	0.6666666666666666	0.9444444444444444	1.0	0.9383512906444408	0.6804138174397716	0.8976608187134503	1.0	3.551222860813141
RDKit 1D descriptors	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	195	30	98	7	269	4	24	5	69	0.7718904190293836	0.5931899641577061	0.234375	0.1428571428571428	0.8108108108108109	0.4444444444444444	0.3636363636363636	0.2486769180061863	0.2162162162162162	0.7718904190293837	0.5913978494623655	0.3371306733683238	0.1184587086092401	0.2073605164570511	0.2284918904806068	1.9830263614654544
RDKit 1D descriptors	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	124	24	13	13	354	2	5	7	88	0.806613152662199	0.5842293906810037	0.6486486486486487	0.2857142857142857	0.6486486486486487	0.2222222222222222	0.6486486486486487	0.2539215686274509	0.25	0.806613152662199	0.6344086021505376	0.6132263053243979	0.1889929312917818	0.4529232872155002	0.2845243979253373	5.255897291501364
RDKit 1D descriptors	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	192	8	3	0	85	0	1	3	21	0.9829545454545454	0.4772727272727273	0.7272727272727273	0.0	1.0	0.0	0.8421052631578948	0.4266666666666666	0.0	0.9829545454545456	0.8333333333333333	0.8381404052084442	-0.0753778361444409	0.7272727272727273	0.3472222222222222	3.21730504433314
RDKit 1D descriptors	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	165	0	2	8	86	0	1	3	21	0.4886363636363636	0.4772727272727273	0.0	0.0	0.0	0.0	0.0	0.186655174890469	0.0	0.4886363636363636	0.6666666666666666	-0.0439799497133542	-0.0753778361444409	0.0833333333333333	0.2106060606060606	6.282504975795746
