data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	26	8	1	0	87	3	0	0	22	0.994318181818182	1.0	0.8888888888888888	1.0	1.0	1.0	0.9411764705882352	0.8666666666666666	1.0	0.994318181818182	1.0	0.937436866561092	1.0	0.8888888888888888	1.0	10.65380245844523
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	152	0	0	8	88	0	0	3	22	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.4280952380952381	0.0	0.5	0.9696969696969696	0.0	0.0	0.0833333333333333	0.8055555555555556	20.94537523984909
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	40	13	1	0	118	2	1	0	30	0.9957983193277312	0.9838709677419356	0.9285714285714286	0.6666666666666666	1.0	1.0	0.962962962962963	0.55	0.8	0.9957983193277312	1.0	0.959566728957882	0.8032193289024988	0.9285714285714286	1.0	3.7353368679682415
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	64	10	2	3	117	2	0	0	31	0.8762120232708468	1.0	0.8333333333333334	1.0	0.7692307692307693	1.0	0.8	0.4666666666666667	1.0	0.8762120232708467	1.0	0.7798778350621348	1.0	0.6637529137529138	1.0	10.933059891064962
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	168	8	0	0	80	1	0	1	20	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.7142857142857143	0.6666666666666666	1.0	1.0	1.0	0.6900655593423543	1.0	1.0	6.4484724799791975
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	67	8	0	0	80	0	0	2	20	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.6666666666666667	0.0	1.0	1.0	1.0	0.0	1.0	1.0	30.082106399536134
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	160	9	0	0	105	4	0	0	25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9333333333333332	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.56296394666036
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	46	9	0	0	105	4	0	0	25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9333333333333332	1.0	1.0	1.0	1.0	1.0	1.0	1.0	18.45417725245158
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	198	30	76	7	291	4	30	5	63	0.8018631710729804	0.5609318996415771	0.2830188679245283	0.1176470588235294	0.8108108108108109	0.4444444444444444	0.4195804195804196	0.2784461152882206	0.1860465116279069	0.8018631710729804	0.5830346475507766	0.3958338725171256	0.0733235575106766	0.2468014904499119	0.2930452495721142	3.4027815580368044
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	41	24	9	13	358	1	3	8	90	0.8120627439428529	0.5394265232974911	0.7272727272727273	0.25	0.6486486486486487	0.1111111111111111	0.6857142857142857	0.1285714285714285	0.1538461538461538	0.8120627439428529	0.5328554360812425	0.6572973600090851	0.1152227332310633	0.503922689566254	0.2188470863206207	30.52672510544459
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	133	8	7	0	81	0	0	3	22	0.9602272727272728	0.5	0.5333333333333333	0.0	1.0	0.0	0.6956521739130436	0.4333333333333333	0.0	0.9602272727272728	0.9242424242424242	0.7006490497453707	0.0	0.5333333333333333	0.5555555555555556	6.539159325758616
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	12	4	0	4	88	0	0	3	22	0.75	0.5	1.0	0.0	0.5	0.0	0.6666666666666666	0.2	0.0	0.75	0.9090909090909092	0.6915640748081247	0.0	0.5416666666666666	0.6805555555555556	22.99988437493642
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	K7GSR7	52 (1.27%)	4048 (412584.62%)	0.0128	GradientBoosting	200	73	44	28	0	385	5	17	3	90	0.9661016949152542	0.7330607476635513	0.6111111111111112	0.2272727272727272	1.0	0.625	0.7586206896551725	0.5424224036800103	0.3333333333333333	0.9661016949152542	0.8609813084112149	0.7547713887932334	0.3014971413045507	0.6111111111111112	0.3166844530681542	17.597757323582968
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	K7GSR7	52 (1.27%)	4048 (412584.62%)	0.0128	XGBoost	200	34	41	40	3	373	6	14	2	93	0.9174829407880256	0.8095794392523364	0.5061728395061729	0.3	0.9318181818181818	0.75	0.656	0.5515954415954416	0.4285714285714285	0.9174829407880256	0.8966121495327103	0.6449613084108528	0.4155872228466712	0.4782256064167078	0.3399477001039501	15.932980692386629
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O08892	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	134	8	1	0	87	1	0	2	22	0.994318181818182	0.6666666666666666	0.8888888888888888	1.0	1.0	0.3333333333333333	0.9411764705882352	0.5266666666666666	0.5	0.994318181818182	0.8787878787878789	0.937436866561092	0.5527707983925666	0.8888888888888888	0.6555555555555554	7.351073058446248
