data	target	roc_auc_score	pr_auc_score
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	1.0	1.0
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	0.9838709677419355	0.8333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	0.975	0.8333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	0.98	0.9166666666666666
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	0.5722819593787336	0.22736436892949113
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	G7ZKZ7	0.9242424242424242	0.5333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	K7GSR7	0.8095794392523364	0.25489307823866647
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O08892	0.6515151515151515	0.2893772893772894
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14746	0.5656565656565655	0.1693121693121693
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14965	0.7222222222222222	0.5166666666666666
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43353	0.9861111111111112	0.9166666666666665
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43570	0.9264069264069265	0.5944139194139194
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60285	0.4722222222222222	0.1360708534621578
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60674	0.4305555555555555	0.40545808966861596
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60755	0.36206896551724144	0.0754985754985755
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60840	0.8	0.3611111111111111
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O70212	0.6000000000000001	0.19281974153297682
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O70528	0.7088948787061995	0.5497451141269991
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O75030	0.5416666666666666	0.4204545454545454
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O76074	0.775	0.35
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O94806	1.0	1.0
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95069	0.9249999999999999	0.7
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95153	0.7250000000000001	0.25757575757575757
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95180	0.821875	0.40186267633076145
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95264	0.9838709677419355	0.8333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95342	0.7687074829931974	0.22667931907062344
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95819	0.8523809523809525	0.4727272727272727
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00519	0.9310344827586207	0.41666666666666663
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00533	0.9092105263157895	0.6702093429861125
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00734	0.675	0.19090909090909092
