data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	147	8	3	0	85	2	1	1	21	0.9829545454545454	0.8106060606060606	0.7272727272727273	0.6666666666666666	1.0	0.6666666666666666	0.8421052631578948	0.76	0.6666666666666666	0.9829545454545456	0.7878787878787878	0.8381404052084442	0.6212121212121212	0.7272727272727273	0.6180555555555556	1.468442678451538
Physicochemical properties	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	86	8	1	0	87	2	2	1	20	0.994318181818182	0.7878787878787878	0.8888888888888888	0.5	1.0	0.6666666666666666	0.9411764705882352	0.5142857142857142	0.5714285714285715	0.994318181818182	0.9090909090909092	0.937436866561092	0.5103545438827408	0.8888888888888888	0.6805555555555556	13.89467242161433
Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	42	11	11	2	108	2	3	0	28	0.8768584356819651	0.9516129032258064	0.5	0.4	0.8461538461538461	1.0	0.6285714285714286	0.5504761904761905	0.5714285714285715	0.8768584356819651	0.935483870967742	0.6026230103192686	0.6010743070375286	0.4382284382284382	0.4166666666666666	1.4674956679344178
Physicochemical properties	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	51	11	4	2	115	0	1	2	30	0.9062702003878474	0.4838709677419355	0.7333333333333333	0.0	0.8461538461538461	0.0	0.7857142857142856	0.5271428571428571	0.0	0.9062702003878474	0.9516129032258064	0.7628717985798161	-0.0449013255066937	0.6356643356643356	0.5	7.764397307236989
Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	43	8	0	0	80	0	0	2	20	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.72	0.0	1.0	0.8250000000000001	1.0	0.0	1.0	0.2916666666666666	1.7064831137657166
Physicochemical properties	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	21	6	5	2	75	0	3	2	17	0.84375	0.425	0.5454545454545454	0.0	0.75	0.0	0.631578947368421	0.5666666666666667	0.0	0.84375	0.75	0.5976143046671968	-0.1256561724875086	0.4318181818181817	0.2857142857142857	9.23506002028783
Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	133	9	1	0	104	3	1	1	24	0.9952380952380953	0.855	0.9	0.75	1.0	0.75	0.9473684210526316	0.72	0.75	0.9952380952380953	0.9	0.9441549509633318	0.71	0.9	0.7644230769230769	2.96420605580012
Physicochemical properties	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	12	8	5	1	100	2	1	2	24	0.9206349206349206	0.73	0.6153846153846154	0.6666666666666666	0.8888888888888888	0.5	0.7272727272727274	0.6666666666666666	0.5714285714285715	0.9206349206349206	0.915	0.7137052005804002	0.520847435706514	0.5557804768331085	0.7708333333333333	6.439435315132141
Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	164	27	105	10	262	4	28	5	65	0.7218130937476986	0.5716845878136201	0.2045454545454545	0.125	0.7297297297297297	0.4444444444444444	0.3195266272189349	0.2653304926484126	0.1951219512195122	0.7218130937476988	0.5346475507765831	0.2728221652735262	0.0876384136749364	0.174015374510424	0.1149339913628607	2.8234988609949747
Physicochemical properties	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	190	29	88	8	279	3	25	6	68	0.772000883717505	0.532258064516129	0.2478632478632478	0.1071428571428571	0.7837837837837838	0.3333333333333333	0.3766233766233766	0.2171661671661671	0.1621621621621621	0.772000883717505	0.5221027479091995	0.3459396372015002	0.0410049375955062	0.214073174469214	0.2262920342376764	14.06445895433426
