data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002034	112(16.79%)	555 (83.21%)	XGBoost	50	22	60	15	26	432	6	12	20	96	0.8320586858123927	0.5598290598290598	0.8	0.3333333333333333	0.6976744186046512	0.2307692307692307	0.7453416149068322	0.104340564673332	0.2727272727272727	0.8320586858123927	0.6136039886039886	0.7025616778174871	0.1387635744716789	0.606920022688599	0.335061769177747	10.454882355531057
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060708	21(3.15%)	646 (96.85%)	XGBoost	50	0	2	0	12	519	0	0	7	127	0.5714285714285714	0.5	1.0	0.0	0.1428571428571428	0.0	0.25	0.0	0.0	0.5714285714285714	0.3768278965129358	0.3736692827207929	0.0	0.1653712141517019	0.0481867600955381	7.108305144309997
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049771	71(10.64%)	596 (89.36%)	XGBoost	50	6	42	4	14	473	0	5	15	114	0.8708071278825995	0.4789915966386555	0.9130434782608696	0.0	0.75	0.0	0.8235294117647057	0.1174358974358974	0.0	0.8708071278825995	0.5299719887955182	0.8098188397943115	-0.0698976051114248	0.711049025205971	0.143969478296331	11.88386447429657
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047289	150(22.49%)	517 (77.51%)	XGBoost	50	22	84	85	34	330	15	28	17	74	0.7535225648356136	0.5971200980392157	0.4970414201183432	0.3488372093023256	0.711864406779661	0.46875	0.5853658536585366	0.3945029785029785	0.4000000000000001	0.7535225648356136	0.564031862745098	0.4523948198751644	0.1774023052209482	0.417615964345382	0.3378412281211107	9.927919324239095
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018291	87(13.04%)	580 (86.96%)	XGBoost	50	37	6	3	64	460	0	0	17	117	0.5396174020364085	0.5	0.6666666666666666	0.0	0.0857142857142857	0.0	0.1518987341772152	0.0591478696741854	0.0	0.5396174020364085	0.4972347913524384	0.2077153566622857	0.0	0.1772179040471723	0.1730028636631057	5.964392181237539
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082490	44(6.6%)	623 (93.4%)	XGBoost	50	0	12	0	25	496	0	0	7	127	0.6621621621621622	0.5	1.0	0.0	0.3243243243243243	0.0	0.489795918367347	0.0	0.0	0.6621621621621622	0.250843644544432	0.555663330430189	0.0	0.3712286395213224	0.0379224562094657	6.739738790194194
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046543	99(14.84%)	568 (85.16%)	XGBoost	50	8	59	49	22	403	4	22	14	94	0.8099939910411886	0.5162835249042146	0.5462962962962963	0.1538461538461538	0.7283950617283951	0.2222222222222222	0.6243386243386243	0.2491681666498129	0.1818181818181818	0.8099939910411887	0.592911877394636	0.5537180174210783	0.0280831043573635	0.4391953218360926	0.1809305889626548	10.08819521665573
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006458	90(13.49%)	577 (86.51%)	XGBoost	50	8	54	9	19	451	1	3	16	114	0.860080405002978	0.5165912518853695	0.8571428571428571	0.25	0.7397260273972602	0.0588235294117647	0.7941176470588235	0.0864492753623188	0.0952380952380952	0.8600804050029779	0.6279537456008044	0.7669209936375898	0.0648970375178544	0.6696981601759416	0.2179862657393473	5.847217305501302
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061471	87(13.04%)	580 (86.96%)	XGBoost	50	0	25	0	37	471	0	0	25	109	0.7016129032258065	0.5	1.0	0.0	0.4032258064516129	0.0	0.5747126436781609	0.0	0.0	0.7016129032258065	0.4862385321100917	0.6114384660078195	0.0	0.4726441929431701	0.2113736694968761	9.76115208864212
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040047	107(16.04%)	560 (83.96%)	XGBoost	50	42	35	9	46	443	0	5	26	103	0.70609363050366	0.4768518518518518	0.7954545454545454	0.0	0.4320987654320987	0.0	0.5599999999999999	0.0661064425770308	0.0	0.7060936305036599	0.3459757834757835	0.5376820329665871	-0.0965972901422157	0.4300188670107369	0.1522060128639454	8.07429366906484
