data	safety_endpoint	roc_auc_score	pr_auc_score
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002034	0.61502849002849	0.29428209277488643
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060708	0.5	0.05223880597014925
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049771	0.534453781512605	0.13710216812428128
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047289	0.6317401960784313	0.4594965920382761
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018291	0.6028154851684263	0.242866023470625
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082490	0.46006749156355453	0.05545421061972302
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046543	0.5454980842911877	0.1444223316972139
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006458	0.6726998491704375	0.2833086871663355
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061471	0.5240366972477064	0.22176968154108326
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040047	0.4601139601139601	0.1823139026421733
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005419	0.6735930735930735	0.4042083654899019
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027417	0.5647727272727273	0.219615734594511
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10072970	0.6835095965530747	0.3264344564811808
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027458	0.5430327868852459	0.13871288291021555
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10037087	0.7436440677966102	0.35154885087057747
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10014581	0.6614173228346457	0.09510014865330589
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10023509	0.6346153846153846	0.37631491270519374
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018852	0.6293333333333333	0.11296352517196792
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050031	0.6801948051948051	0.30538533846040566
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029282	0.7840909090909092	0.4400054227503011
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035155	0.637719298245614	0.27110706280410046
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033546	0.5809312638580932	0.271462343426203
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020649	0.5988200589970502	0.2108461865021287
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021027	0.6553775743707093	0.20705391117571284
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005630	0.5724358974358974	0.2870699134599515
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10057453	0.7000000000000001	0.3726864556410172
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001233	0.7460550458715597	0.49621760896293904
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082297	0.8104838709677419	0.47416918994318374
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10003885	0.7353988603988604	0.3236993541635611
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061126	0.559322033898305	0.19947672650185017
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029202	0.5612403100775194	0.048404623638073116
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005470	0.7042201834862385	0.3419278924545073
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10057009	0.47644444444444445	0.08449534821644042
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061368	0.5761689291101055	0.16883147137727295
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10065558	0.6876470588235295	0.45209899347946975
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001367	0.5910364145658262	0.16817155523130495
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006784	0.6626984126984127	0.145264166495151
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10000269	0.7124907612712491	0.34077069141296346
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061117	0.5589080459770115	0.3093086715177652
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10039796	0.6605073598496711	0.4016014546716054
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040943	0.7730451366815003	0.2452861644746048
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10031149	0.5799671592775041	0.3463020405365597
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10041541	0.6276954177897573	0.3565277211472895
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001551	0.5434891905480141	0.13774500123139824
