data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002034	112(16.79%)	555 (83.21%)	XGBoost	50	8	62	41	24	406	8	16	18	92	0.8146038187399198	0.5797720797720798	0.6019417475728155	0.3333333333333333	0.7209302325581395	0.3076923076923077	0.656084656084656	0.1287237448459859	0.32	0.8146038187399198	0.5787037037037037	0.58619773035892	0.1645422754415829	0.4789861466532409	0.3703850559594886	13.044628246625264
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060708	21(3.15%)	646 (96.85%)	XGBoost	50	0	1	0	13	519	0	0	7	127	0.5357142857142857	0.5	1.0	0.0	0.0714285714285714	0.0	0.1333333333333333	0.0	0.0	0.5357142857142857	0.3464566929133858	0.263975636020561	0.0	0.0958188153310104	0.0428258170686197	6.351742919286092
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049771	71(10.64%)	596 (89.36%)	XGBoost	50	22	37	7	19	470	1	5	14	114	0.8230196166516921	0.5123249299719889	0.8409090909090909	0.1666666666666666	0.6607142857142857	0.0666666666666666	0.74	0.1395411605937921	0.0952380952380952	0.8230196166516921	0.5831932773109244	0.7198322967659874	0.0375796694941611	0.5912479289003679	0.1659419089626848	9.165969947973888
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047289	150(22.49%)	517 (77.51%)	XGBoost	50	47	97	15	21	400	8	10	24	92	0.8929446599959159	0.5759803921568627	0.8660714285714286	0.4444444444444444	0.8220338983050848	0.25	0.8434782608695652	0.3583877744385725	0.32	0.8929446599959159	0.6286764705882353	0.8008964702684828	0.1899946422661715	0.7513396974047036	0.4009223004340033	7.054347264766693
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018291	87(13.04%)	580 (86.96%)	XGBoost	50	22	43	0	27	463	0	0	17	117	0.8071428571428572	0.5	1.0	0.0	0.6142857142857143	0.0	0.7610619469026549	0.1152380952380952	0.0	0.8071428571428572	0.5409753645047762	0.7618643696776064	0.0	0.6649423746984723	0.2086522400011675	5.841588016351064
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082490	44(6.6%)	623 (93.4%)	XGBoost	50	0	9	0	28	496	0	0	7	127	0.6216216216216216	0.5	1.0	0.0	0.2432432432432432	0.0	0.391304347826087	0.0	0.0	0.6216216216216216	0.3363329583802025	0.4798390487322398	0.0	0.2957760762638811	0.0425544426791364	6.348493123054505
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046543	99(14.84%)	568 (85.16%)	XGBoost	50	22	62	32	19	420	2	19	16	97	0.8473178192942205	0.4736590038314175	0.6595744680851063	0.0952380952380952	0.7654320987654321	0.1111111111111111	0.7085714285714286	0.2845839345839346	0.1025641025641025	0.8473178192942205	0.5919540229885057	0.6542934928697819	-0.049417249433227	0.5405067489481951	0.1768259724803846	7.405022207895914
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006458	90(13.49%)	577 (86.51%)	XGBoost	50	37	39	0	34	460	3	1	14	116	0.7671232876712328	0.5839617898441428	1.0	0.75	0.5342465753424658	0.1764705882352941	0.6964285714285715	0.0971428571428571	0.2857142857142857	0.7671232876712328	0.6943187531422825	0.7053201883773499	0.328418341378233	0.5980364440103833	0.3393586890031102	5.902125418186188
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061471	87(13.04%)	580 (86.96%)	XGBoost	50	42	41	13	21	458	3	7	22	102	0.8168447366618725	0.5278899082568808	0.7592592592592593	0.3	0.6612903225806451	0.12	0.7068965517241378	0.045	0.1714285714285714	0.8168447366618724	0.5372477064220184	0.6733147903636475	0.0826893336243271	0.5414904252433757	0.2370019291372348	10.215315453211469
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040047	107(16.04%)	560 (83.96%)	XGBoost	50	33	59	16	22	436	3	10	23	98	0.8464984158199498	0.5113960113960114	0.7866666666666666	0.2307692307692307	0.7283950617283951	0.1153846153846153	0.7564102564102564	0.0731590413943355	0.1538461538461538	0.8464984158199498	0.4615384615384615	0.715450522497331	0.0304520869343674	0.6142799125996958	0.2268844771295811	10.517107240358987
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005419	150(22.49%)	517 (77.51%)	XGBoost	50	8	94	33	21	385	4	15	31	84	0.8692219679633868	0.4813852813852814	0.7401574803149606	0.2105263157894736	0.8173913043478261	0.1142857142857142	0.7768595041322315	0.1881678123317735	0.1481481481481481	0.8692219679633868	0.503030303030303	0.7130002994201408	-0.04688267357223	0.6443979130229246	0.3001066716390353	7.710541101296743
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027417	120(17.99%)	547 (82.01%)	XGBoost	50	46	81	17	15	420	2	11	22	99	0.9024241990846682	0.4916666666666667	0.826530612244898	0.1538461538461538	0.84375	0.0833333333333333	0.8350515463917526	0.3249740237975532	0.1081081081081081	0.9024241990846682	0.6473484848484848	0.7984224735457445	-0.0215916758543765	0.7255277931998315	0.250721599006904	7.775440748532613
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10072970	97(14.54%)	570 (85.46%)	XGBoost	50	12	2	0	72	459	0	0	23	111	0.5135135135135135	0.5	1.0	0.0	0.027027027027027	0.0	0.0526315789473684	0.1202136752136752	0.0	0.5135135135135135	0.554249902075989	0.1528474579318992	0.0	0.1621114547943816	0.2173382520921881	5.078854064146678
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027458	33(4.95%)	634 (95.05%)	XGBoost	50	0	4	0	17	512	0	0	12	122	0.5952380952380952	0.5	1.0	0.0	0.1904761904761904	0.0	0.32	0.0	0.0	0.5952380952380952	0.6618852459016393	0.4293658433727774	0.0	0.2223711248101492	0.1930332266652253	6.44895803531011
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10037087	66(9.9%)	601 (90.1%)	XGBoost	50	8	33	15	17	468	8	6	8	112	0.8144720496894411	0.7245762711864407	0.6875	0.5714285714285714	0.66	0.5	0.673469387755102	0.2448717948717949	0.5333333333333333	0.8144720496894411	0.7039194915254237	0.6405884833852257	0.4761460834836171	0.4856449343339588	0.4611753290941206	9.384800191720329
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10014581	37(5.55%)	630 (94.45%)	XGBoost	50	8	18	0	12	503	0	0	7	127	0.8	0.5	1.0	0.0	0.6	0.0	0.7499999999999999	0.2363636363636363	0.0	0.8	0.6479190101237345	0.765519051020762	0.0	0.622514071294559	0.2772374067304943	5.197028605143229
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10023509	130(19.49%)	537 (80.51%)	XGBoost	50	31	76	5	24	428	3	10	27	94	0.8742263279445728	0.5019230769230769	0.9382716049382716	0.2307692307692307	0.76	0.1	0.8397790055248618	0.2297180687424589	0.1395348837209302	0.8742263279445728	0.6169871794871795	0.8139478027958279	0.0054167599247656	0.7581145623422045	0.3109229190237652	11.09953893025716
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018852	77(11.54%)	590 (88.46%)	XGBoost	50	6	56	40	12	425	1	19	8	106	0.8687539531941808	0.4795555555555555	0.5833333333333334	0.05	0.8235294117647058	0.1111111111111111	0.6829268292682927	0.4191275391275392	0.0689655172413793	0.8687539531941808	0.5511111111111111	0.6402819785352457	-0.0287219648885052	0.5029062281573042	0.0888587878701401	10.217922182877858
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050031	90(13.49%)	577 (86.51%)	XGBoost	50	8	57	8	11	457	2	4	20	108	0.9105154965211892	0.5275974025974026	0.8769230769230769	0.3333333333333333	0.8382352941176471	0.0909090909090909	0.8571428571428571	0.1501960784313725	0.1428571428571428	0.9105154965211892	0.6047077922077921	0.8370682694093584	0.0988639473548375	0.7557057719898467	0.2859865544175186	9.161891822020213
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029282	86(12.89%)	581 (87.11%)	XGBoost	50	44	48	41	16	428	10	15	12	97	0.8312899786780383	0.6603084415584416	0.5393258426966292	0.4	0.75	0.4545454545454545	0.6274509803921569	0.4309823239640684	0.4255319148936171	0.8312899786780383	0.7305194805194805	0.5774683875632708	0.3048761743904393	0.4345131437485507	0.3452584898064327	6.279203049341837
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035155	99(14.84%)	568 (85.16%)	XGBoost	50	22	57	44	22	410	4	17	16	97	0.8123013438911504	0.525438596491228	0.5643564356435643	0.1904761904761904	0.7215189873417721	0.2	0.6333333333333333	0.1918860398860399	0.1951219512195122	0.8123013438911504	0.5359649122807018	0.5662950435586327	0.04987026737066	0.4484696813187148	0.2288479740003534	6.016745674610138
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033546	48(7.2%)	619 (92.8%)	XGBoost	50	2	0	0	37	496	0	0	11	123	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0444444444444444	0.0	0.5	0.6999260901699926	0.0	0.0	0.0694183864915572	0.175983703774192	5.267831913630167
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020649	85(12.74%)	582 (87.26%)	XGBoost	50	46	19	2	45	467	0	0	21	113	0.6463053038379531	0.5	0.9047619047619048	0.0	0.296875	0.0	0.4470588235294118	0.0574358974358974	0.0	0.6463053038379531	0.5254951538137379	0.488902036776414	0.0	0.3530289578307871	0.1684534277646099	5.525299354394277
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021027	100(14.99%)	567 (85.01%)	XGBoost	50	13	61	10	20	442	0	11	19	104	0.8654812629738884	0.4521739130434782	0.8591549295774648	0.0	0.7530864197530864	0.0	0.8026315789473684	0.2483333333333333	0.0	0.8654812629738883	0.5414187643020594	0.7722477957966272	-0.1215546751866764	0.6845413620863066	0.1563472795706111	8.189380621910095
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005630	141(21.14%)	526 (78.86%)	XGBoost	50	8	86	21	25	401	5	21	25	83	0.8625058707997096	0.4823717948717949	0.8037383177570093	0.1923076923076923	0.7747747747747747	0.1666666666666666	0.7889908256880734	0.1614124059136846	0.1785714285714285	0.8625058707997098	0.5249999999999999	0.7349639992063492	-0.0371635195105258	0.6696204893150414	0.2417461778161226	10.55782115062078
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10057453	108(16.19%)	559 (83.81%)	XGBoost	50	42	64	26	20	423	5	12	19	98	0.8519991515537173	0.5496212121212121	0.7111111111111111	0.2941176470588235	0.7619047619047619	0.2083333333333333	0.735632183908046	0.1935510567863509	0.2439024390243902	0.8519991515537173	0.6337121212121212	0.6847173113345016	0.1143357214098212	0.5793223939565404	0.3340356752369448	6.731673137346903
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001233	95(14.24%)	572 (85.76%)	XGBoost	50	22	48	52	22	411	6	14	19	95	0.7867016352977476	0.5557798165137615	0.48	0.3	0.6857142857142857	0.24	0.5647058823529412	0.2514352041151141	0.2666666666666666	0.7867016352977476	0.6111926605504587	0.4960845859472687	0.1219615420409362	0.3704186545162155	0.326966583784597	5.940722517172495
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082297	73(10.94%)	594 (89.06%)	XGBoost	50	8	45	29	18	441	3	17	7	107	0.8262917933130699	0.5814516129032258	0.6081081081081081	0.15	0.7142857142857143	0.3	0.6569343065693432	0.2053965796845053	0.2	0.82629179331307	0.6741935483870968	0.6093027630370639	0.1201359821876261	0.468134041304773	0.1677761297893857	8.86449624300003
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10003885	125(18.74%)	542 (81.26%)	XGBoost	50	31	80	72	19	362	15	35	11	73	0.8210910952846437	0.6264245014245013	0.5263157894736842	0.3	0.8080808080808081	0.5769230769230769	0.6374501992031872	0.3853036437246963	0.3947368421052631	0.8210910952846436	0.6851851851851853	0.5531417476244019	0.2067450650201561	0.4609529680133017	0.3077172130816252	8.414368844032287
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061126	82(12.29%)	585 (87.71%)	XGBoost	50	21	39	34	27	433	2	17	14	101	0.7590519758613977	0.4904661016949153	0.5342465753424658	0.1052631578947368	0.5909090909090909	0.125	0.5611510791366907	0.1219877899877899	0.1142857142857142	0.7590519758613977	0.427436440677966	0.4963716475978967	-0.0177245731499613	0.3663478185696696	0.1135855944975807	5.927482108275096
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029202	40(6.0%)	627 (94.0%)	XGBoost	50	8	22	0	13	498	0	0	5	129	0.8142857142857143	0.5	1.0	0.0	0.6285714285714286	0.0	0.7719298245614035	0.05	0.0	0.8142857142857143	0.3705426356589147	0.7826751398987959	0.0	0.6529616724738676	0.0337582749942899	5.275635906060537
