data	safety_endpoint	roc_auc_score	pr_auc_score
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002034	0.5698005698005698	0.25350422618391766
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060708	0.5	0.05223880597014925
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049771	0.5467787114845939	0.14001020367419498
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047289	0.6501225490196078	0.4953295632157837
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018291	0.604323780794369	0.2509769819860163
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082490	0.250843644544432	0.037818487246757806
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046543	0.546455938697318	0.1450231503340202
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006458	0.7134238310708899	0.35599675300342576
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061471	0.5240366972477064	0.20622762662311162
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040047	0.46153846153846156	0.18248578924178854
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005419	0.673015873015873	0.40123158676869985
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027417	0.6132575757575758	0.2815827626886314
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10072970	0.6318057187622406	0.25781660158440545
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027458	0.5430327868852459	0.13871288291021555
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10037087	0.7473516949152543	0.3560932385179513
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10014581	0.5849268841394826	0.09545311298012378
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10023509	0.6394230769230769	0.3777442740444626
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018852	0.5697777777777778	0.0998159010233077
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050031	0.6737012987012988	0.29867832131418914
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029282	0.7869318181818181	0.45609695994143046
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035155	0.5771929824561404	0.26687139304275953
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033546	0.5668883961566888	0.30919617583101233
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020649	0.6000842815002108	0.2558005576897995
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021027	0.6494279176201373	0.20542915515322313
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005630	0.569551282051282	0.2824560081223358
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10057453	0.6837121212121212	0.3380151051310531
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001233	0.7423853211009174	0.4959274006262406
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082297	0.7903225806451613	0.5091175454369937
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10003885	0.7346866096866097	0.3230476925883464
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061126	0.5497881355932204	0.19191503120850611
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029202	0.4899224806201551	0.042307634061757
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005470	0.7148623853211009	0.4121174625594719
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10057009	0.47644444444444445	0.08449534821644042
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061368	0.5339366515837104	0.1889416353458127
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10065558	0.6873529411764706	0.45067300867113197
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001367	0.5742296918767507	0.20289786775679394
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006784	0.6646825396825397	0.14801714150935005
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10000269	0.7132298595713229	0.3699999843663454
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061117	0.6245210727969349	0.29307437259253905
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10039796	0.658315064202944	0.39854325676766833
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040943	0.7584233947870311	0.23970954964908434
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10031149	0.5740558292282429	0.31558101280967504
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10041541	0.6401617250673854	0.42323163861712243
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001551	0.5490196078431373	0.13915793121031994
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021079	0.6626984126984127	0.09160672758899041
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020983	0.5733870967741935	0.134968854515576
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060946	0.569385593220339	0.14375004579984163
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028034	0.8088709677419355	0.2675474705033528
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10064990	0.6092948717948719	0.3570860632451778
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028372	0.735014005602241	0.3014486260991792
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10013887	0.6297482837528604	0.20747807585140893
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10012218	0.620014245014245	0.32295517683245445
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10008882	0.6948215183509301	0.23644011025264236
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019772	0.5459770114942528	0.15050678139679485
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021137	0.722495894909688	0.422361420280604
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10062352	0.48189209164818925	0.13886912440259122
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005725	0.6149122807017544	0.2821267459838366
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048780	0.5838948787061995	0.3537271965566257
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10083842	0.6257777777777778	0.14460337792525432
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005287	0.5983455882352942	0.31712334190621355
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001052	0.45090602612726505	0.14369770526967024
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10022061	0.5	0.014925373134328358
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033864	0.7191558441558441	0.35260540559986486
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001949	0.6802288620470438	0.2866930060570607
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020869	0.41854838709677417	0.06795295266906982
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10044390	0.6389016018306636	0.3508653928343466
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10034539	0.6283692722371967	0.3053076333009165
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061394	0.5435483870967742	0.09621109440840986
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10000081	0.7685483870967742	0.2184422086311621
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046735	0.8160919540229885	0.47480886094345287
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10011078	0.6139449541284403	0.4358261980899508
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10041834	0.6448179271708684	0.26464864026418494
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047141	0.5348360655737705	0.10212587807031989
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10009657	0.7245762711864406	0.4003512276842333
Cell Painting, ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061593	0.6138763197586727	0.31898343196131873
