data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting, ECFP4 fingerprints	10002034	112(16.79%)	555 (83.21%)	XGBoost	50	42	54	26	32	421	2	11	24	97	0.784870714322876	0.4875356125356125	0.675	0.1538461538461538	0.627906976744186	0.0769230769230769	0.6506024096385542	0.1716302521008403	0.1025641025641025	0.784870714322876	0.5181623931623932	0.5867953895522346	-0.0333069700844643	0.4838747327544832	0.206746041724816	6.365287931760152
Cell Painting, ECFP4 fingerprints	10060708	21(3.15%)	646 (96.85%)	XGBoost	50	0	2	0	12	519	0	0	7	127	0.5714285714285714	0.5	1.0	0.0	0.1428571428571428	0.0	0.25	0.0	0.0	0.5714285714285714	0.4341957255343082	0.3736692827207929	0.0	0.1653712141517019	0.0491924151935397	6.570993002255758
Cell Painting, ECFP4 fingerprints	10049771	71(10.64%)	596 (89.36%)	XGBoost	50	33	3	0	53	477	0	0	15	119	0.5267857142857143	0.5	1.0	0.0	0.0535714285714285	0.0	0.1016949152542372	0.0987430869783811	0.0	0.5267857142857143	0.5266106442577031	0.21957751641342	0.0	0.1530085767890646	0.1554441761683372	11.579669853051504
Cell Painting, ECFP4 fingerprints	10047289	150(22.49%)	517 (77.51%)	XGBoost	50	8	94	26	24	389	7	22	25	80	0.8669797835409434	0.501531862745098	0.7833333333333333	0.2413793103448276	0.7966101694915254	0.21875	0.7899159663865546	0.3225325635232755	0.2295081967213114	0.8669797835409434	0.5974264705882354	0.7295776797573958	0.0031719861069545	0.6690394420241464	0.3474039271868683	11.699858005841572
Cell Painting, ECFP4 fingerprints	10018291	87(13.04%)	580 (86.96%)	XGBoost	50	25	5	3	65	460	0	0	17	117	0.5324745448935514	0.5	0.625	0.0	0.0714285714285714	0.0	0.1282051282051282	0.0614492753623188	0.0	0.5324745448935514	0.4550025138260432	0.1804213547187139	0.0	0.1665940766550522	0.1222985120026109	6.092525879542033
Cell Painting, ECFP4 fingerprints	10082490	44(6.6%)	623 (93.4%)	XGBoost	50	0	12	0	25	496	0	0	7	127	0.6621621621621622	0.5	1.0	0.0	0.3243243243243243	0.0	0.489795918367347	0.0	0.0	0.6621621621621622	0.5129358830146231	0.555663330430189	0.0	0.3712286395213224	0.0595408484896355	6.359950252374014
Cell Painting, ECFP4 fingerprints	10046543	99(14.84%)	568 (85.16%)	XGBoost	50	8	56	12	25	440	1	13	17	103	0.8324046760624931	0.4717432950191571	0.8235294117647058	0.0714285714285714	0.691358024691358	0.0555555555555555	0.7516778523489933	0.1876125095347063	0.0625	0.8324046760624931	0.5354406130268199	0.7153653726627224	-0.063003129058154	0.6162579825898812	0.1627852020741926	11.8172695795695
Cell Painting, ECFP4 fingerprints	10006458	90(13.49%)	577 (86.51%)	XGBoost	50	38	3	3	70	457	0	1	17	116	0.5172870756402621	0.4957264957264957	0.5	0.0	0.0410958904109589	0.0	0.0759493670886076	0.0843406593406593	0.0	0.517287075640262	0.5394670688788336	0.1126706866472653	-0.0330526062011046	0.1518800277570742	0.1403810177595898	6.023971005280813
Cell Painting, ECFP4 fingerprints	10061471	87(13.04%)	580 (86.96%)	XGBoost	50	16	33	1	29	470	0	5	25	104	0.7650674611327991	0.4770642201834862	0.9705882352941176	0.0	0.532258064516129	0.0	0.6875	0.0571428571428571	0.0	0.7650674611327991	0.5269724770642201	0.6955093631931825	-0.0942859328753957	0.5710124211882901	0.2182987438865417	7.297498432795207
Cell Painting, ECFP4 fingerprints	10040047	107(16.04%)	560 (83.96%)	XGBoost	50	8	62	7	19	445	2	3	24	105	0.8749726865508576	0.5245726495726496	0.8985507246376812	0.4	0.7654320987654321	0.0769230769230769	0.8266666666666668	0.0816346749226006	0.1290322580645161	0.8749726865508576	0.4871794871794872	0.8019694435699972	0.102541738766352	0.7234268465563387	0.2140955802699719	15.777827886740369
