data	safety_endpoint	roc_auc_score	pr_auc_score
Cell Painting, ECFP4 fingerprints	10002034	0.5445156695156694	0.21313803385841026
Cell Painting, ECFP4 fingerprints	10060708	0.5	0.05223880597014925
Cell Painting, ECFP4 fingerprints	10049771	0.5249299719887954	0.1321101199879289
Cell Painting, ECFP4 fingerprints	10047289	0.6544117647058822	0.43644705475112483
Cell Painting, ECFP4 fingerprints	10018291	0.5711412770236299	0.19390162779713815
Cell Painting, ECFP4 fingerprints	10082490	0.2677165354330709	0.04077238208279797
Cell Painting, ECFP4 fingerprints	10046543	0.525383141762452	0.18770701566385833
Cell Painting, ECFP4 fingerprints	10006458	0.6028154851684263	0.24149544156372993
Cell Painting, ECFP4 fingerprints	10061471	0.5199999999999999	0.1926578129910656
Cell Painting, ECFP4 fingerprints	10040047	0.5035612535612535	0.22145047533101347
Cell Painting, ECFP4 fingerprints	10005419	0.5047619047619047	0.2761731533210663
Cell Painting, ECFP4 fingerprints	10027417	0.6200757575757576	0.2981877551302237
Cell Painting, ECFP4 fingerprints	10072970	0.5170387779083432	0.23556253814369443
Cell Painting, ECFP4 fingerprints	10027458	0.5	0.08955223880597014
Cell Painting, ECFP4 fingerprints	10037087	0.6340042372881356	0.367983560194217
Cell Painting, ECFP4 fingerprints	10014581	0.5534308211473566	0.08617326338303007
Cell Painting, ECFP4 fingerprints	10023509	0.5980769230769232	0.34833512615867956
Cell Painting, ECFP4 fingerprints	10018852	0.5404444444444444	0.08782582058590466
Cell Painting, ECFP4 fingerprints	10050031	0.4805194805194805	0.22618984286747215
Cell Painting, ECFP4 fingerprints	10029282	0.7581168831168831	0.46439790942601256
Cell Painting, ECFP4 fingerprints	10035155	0.4609649122807018	0.20741488211572853
Cell Painting, ECFP4 fingerprints	10033546	0.5469327420546932	0.2706970285271786
Cell Painting, ECFP4 fingerprints	10020649	0.5769068689422672	0.23689969163067176
Cell Painting, ECFP4 fingerprints	10021027	0.44713958810068655	0.12816274253145976
Cell Painting, ECFP4 fingerprints	10005630	0.5208333333333334	0.24684505460098663
Cell Painting, ECFP4 fingerprints	10057453	0.4465909090909091	0.17151159366511387
Cell Painting, ECFP4 fingerprints	10001233	0.5445871559633028	0.358313853485656
Cell Painting, ECFP4 fingerprints	10082297	0.675	0.3937461212061596
Cell Painting, ECFP4 fingerprints	10003885	0.6353276353276354	0.2995318712101537
Cell Painting, ECFP4 fingerprints	10061126	0.4205508474576271	0.10303840662571352
Cell Painting, ECFP4 fingerprints	10029202	0.36899224806201547	0.03370512499531558
Cell Painting, ECFP4 fingerprints	10005470	0.7137614678899084	0.3640655012595815
Cell Painting, ECFP4 fingerprints	10057009	0.5	0.06716417910447761
Cell Painting, ECFP4 fingerprints	10061368	0.49924585218702866	0.15806818419533633
Cell Painting, ECFP4 fingerprints	10065558	0.54	0.292136509962961
Cell Painting, ECFP4 fingerprints	10001367	0.5014005602240896	0.18956787890291799
Cell Painting, ECFP4 fingerprints	10006784	0.7232142857142857	0.2339516360657353
Cell Painting, ECFP4 fingerprints	10000269	0.6415373244641538	0.28841417546888914
Cell Painting, ECFP4 fingerprints	10061117	0.6724137931034482	0.22425134437635566
Cell Painting, ECFP4 fingerprints	10039796	0.6269965549639837	0.32050588122130635
Cell Painting, ECFP4 fingerprints	10040943	0.6452638270820089	0.18624866043057117
Cell Painting, ECFP4 fingerprints	10031149	0.49425287356321845	0.20918691713759008
Cell Painting, ECFP4 fingerprints	10041541	0.5778301886792453	0.36176536247776936
Cell Painting, ECFP4 fingerprints	10001551	0.5651080945198592	0.16150264015382262
Cell Painting, ECFP4 fingerprints	10021079	0.5	0.05970149253731343
Cell Painting, ECFP4 fingerprints	10020983	0.5508064516129032	0.08368635520887613
Cell Painting, ECFP4 fingerprints	10060946	0.5667372881355932	0.136038461908784
Cell Painting, ECFP4 fingerprints	10028034	0.7588709677419355	0.18971055088702146
Cell Painting, ECFP4 fingerprints	10064990	0.44487179487179485	0.23114081825986318
Cell Painting, ECFP4 fingerprints	10028372	0.6677871148459383	0.3025762353512409
Cell Painting, ECFP4 fingerprints	10013887	0.47139588100686497	0.1596846759922882
Cell Painting, ECFP4 fingerprints	10012218	0.6210826210826211	0.3191162801692754
Cell Painting, ECFP4 fingerprints	10008882	0.5326797385620915	0.20283221159082782
Cell Painting, ECFP4 fingerprints	10019772	0.5727969348659003	0.15837969869152477
