data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting	10002034	112(16.79%)	555 (83.21%)	XGBoost	50	45	10	12	76	435	1	4	25	104	0.5447167160917746	0.5007122507122507	0.4545454545454545	0.2	0.1162790697674418	0.0384615384615384	0.1851851851851851	0.0721376755672171	0.064516129032258	0.5447167160917746	0.6143162393162394	0.1653792791790089	0.0029722243120681	0.1954432408204387	0.2759791203531253	7.810104461510976
Cell Painting	10060708	21(3.15%)	646 (96.85%)	XGBoost	50	0	1	0	13	519	0	0	7	127	0.5357142857142857	0.5	1.0	0.0	0.0714285714285714	0.0	0.1333333333333333	0.0	0.0	0.5357142857142857	0.5916760404949382	0.263975636020561	0.0	0.0958188153310104	0.09702438771047	8.075413266817728
Cell Painting	10049771	71(10.64%)	596 (89.36%)	XGBoost	50	22	10	1	46	476	0	3	15	116	0.5882374962563641	0.4873949579831932	0.9090909090909092	0.0	0.1785714285714285	0.0	0.2985074626865672	0.0865384615384615	0.0	0.5882374962563641	0.4425770308123249	0.3806315478955945	-0.0537275613027757	0.2486416023001388	0.0988861539225864	8.789834642410279
Cell Painting	10047289	150(22.49%)	517 (77.51%)	XGBoost	50	8	91	26	27	389	10	16	22	86	0.8542679191341638	0.5778186274509804	0.7777777777777778	0.3846153846153846	0.7711864406779662	0.3125	0.774468085106383	0.1751260109154846	0.3448275862068966	0.8542679191341639	0.5903799019607844	0.7107015750107782	0.167799277104502	0.6504683364956205	0.3227319897546197	13.803392903010051
Cell Painting	10018291	87(13.04%)	580 (86.96%)	XGBoost	50	16	34	1	36	462	0	0	17	117	0.7417772292502314	0.5	0.9714285714285714	0.0	0.4857142857142857	0.0	0.6476190476190476	0.0635294117647058	0.0	0.7417772292502315	0.5329311211664153	0.6593806736939108	0.0	0.5393789485775549	0.16318899182353	7.246770938237508
Cell Painting	10082490	44(6.6%)	623 (93.4%)	XGBoost	50	0	3	0	34	496	0	0	7	127	0.5405405405405406	0.5	1.0	0.0	0.081081081081081	0.0	0.15	0.0	0.0	0.5405405405405406	0.3340832395950506	0.2754626167706678	0.0	0.1448709497489985	0.0442370638601162	8.239196495215099
Cell Painting	10046543	99(14.84%)	568 (85.16%)	XGBoost	50	8	58	2	23	450	0	7	18	109	0.8558123019774937	0.4698275862068966	0.9666666666666668	0.0	0.7160493827160493	0.0	0.8226950354609929	0.1629869545659019	0.0	0.8558123019774937	0.4837164750957854	0.8082700497181818	-0.0924814046663906	0.7353330399400859	0.1357544845539076	9.497492134571075
Cell Painting	10006458	90(13.49%)	577 (86.51%)	XGBoost	50	13	0	1	73	459	0	0	17	117	0.4989130434782609	0.5	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.4989130434782609	0.5100553041729512	-0.0172713664216605	0.0	0.1369606003752345	0.1552609756752337	8.828384017944336
Cell Painting	10061471	87(13.04%)	580 (86.96%)	XGBoost	50	0	25	0	37	471	0	0	25	109	0.7016129032258065	0.5	1.0	0.0	0.4032258064516129	0.0	0.5747126436781609	0.0	0.0	0.7016129032258065	0.6300917431192661	0.6114384660078195	0.0	0.4726441929431701	0.2830959054099454	9.879152405261994
Cell Painting	10040047	107(16.04%)	560 (83.96%)	XGBoost	50	2	7	1	74	451	0	0	26	108	0.5421036818529444	0.5	0.875	0.0	0.0864197530864197	0.0	0.1573033707865168	0.047719298245614	0.0	0.5421036818529443	0.5427350427350428	0.2486206243146062	0.0	0.2144540569337317	0.2554111144775635	8.718489456176759
Cell Painting	10005419	150(22.49%)	517 (77.51%)	XGBoost	50	21	85	3	30	415	0	9	35	90	0.8659767006448928	0.4545454545454545	0.9659090909090908	0.0	0.7391304347826086	0.0	0.8374384236453201	0.1598471703734861	0.0	0.8659767006448928	0.3956709956709957	0.8109594757489268	-0.1595448070434931	0.7702179845605084	0.2116027038565087	8.568711543083191
Cell Painting	10027417	120(17.99%)	547 (82.01%)	XGBoost	50	33	68	4	28	433	2	4	22	106	0.8495900076277652	0.5234848484848484	0.9444444444444444	0.3333333333333333	0.7083333333333334	0.0833333333333333	0.8095238095238096	0.117062504059408	0.1333333333333333	0.8495900076277652	0.5564393939393939	0.7860472097398739	0.0870841489015021	0.7215143145021194	0.2157292265879167	7.02882673740387
Cell Painting	10072970	97(14.54%)	570 (85.46%)	XGBoost	50	41	7	2	67	457	0	1	23	110	0.5451186480598246	0.4954954954954955	0.7777777777777778	0.0	0.0945945945945946	0.0	0.1686746987951807	0.0630952380952381	0.0	0.5451186480598246	0.5624755189972581	0.2421705778229227	-0.0394708617383758	0.1992771383015285	0.2344367717402361	7.37821030219396
