data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002034	112(16.79%)	555 (83.21%)	XGBoost	50	21	58	59	28	388	9	22	17	86	0.7712137765985121	0.5712250712250713	0.4957264957264957	0.2903225806451613	0.6744186046511628	0.3461538461538461	0.5714285714285715	0.2348210853474011	0.3157894736842105	0.771213776598512	0.6007834757834758	0.4820644804194335	0.1335863181978751	0.3868600045571117	0.324731057285638	7.420051590601603
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060708	21(3.15%)	646 (96.85%)	XGBoost	50	0	1	0	13	519	0	0	7	127	0.5357142857142857	0.5	1.0	0.0	0.0714285714285714	0.0	0.1333333333333333	0.0	0.0	0.5357142857142857	0.5050618672665916	0.263975636020561	0.0	0.0958188153310104	0.0659817537369027	4.322506519158681
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049771	71(10.64%)	596 (89.36%)	XGBoost	50	41	34	44	22	433	3	18	12	101	0.7574498352800239	0.5243697478991597	0.4358974358974359	0.1428571428571428	0.6071428571428571	0.2	0.5074626865671643	0.3280625072079345	0.1666666666666666	0.757449835280024	0.5428571428571428	0.446707060985452	0.0422718517934464	0.305927812025373	0.1387574682012555	8.361201858520507
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047289	150(22.49%)	517 (77.51%)	XGBoost	50	35	83	42	35	373	10	19	22	83	0.801092505615683	0.5631127450980392	0.664	0.3448275862068966	0.7033898305084746	0.3125	0.6831275720164609	0.3344689637372564	0.3278688524590164	0.801092505615683	0.6246936274509804	0.5900786553785586	0.1306858276065289	0.5327168887334245	0.4404238630334991	7.841866068045298
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018291	87(13.04%)	580 (86.96%)	XGBoost	50	11	52	40	18	423	2	11	15	106	0.8282320271521135	0.5118149824032177	0.5652173913043478	0.1538461538461538	0.7428571428571429	0.1176470588235294	0.6419753086419753	0.2391715181370353	0.1333333333333333	0.8282320271521135	0.584715937657114	0.586728599151959	0.0265715020436075	0.4536468833393541	0.1840254112671067	7.969032371044159
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082490	44(6.6%)	623 (93.4%)	XGBoost	50	8	19	15	18	481	0	5	7	122	0.7416357890148213	0.4803149606299212	0.5588235294117647	0.0	0.5135135135135135	0.0	0.5352112676056339	0.0888888888888888	0.0	0.7416357890148213	0.5050618672665916	0.5026240014222005	-0.0462207838733724	0.3207345409640962	0.0806342873800287	5.66991438070933
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046543	99(14.84%)	568 (85.16%)	XGBoost	50	33	55	27	26	425	4	16	14	100	0.8096389162023381	0.5421455938697317	0.6707317073170732	0.2	0.6790123456790124	0.2222222222222222	0.6748466257668712	0.3322162952137376	0.2105263157894737	0.809638916202338	0.5711206896551724	0.6161721486423353	0.0806640451277993	0.5042155977115327	0.1740145591243352	4.818766609827677
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006458	90(13.49%)	577 (86.51%)	XGBoost	50	42	46	21	27	439	4	11	13	106	0.7922424061941632	0.5706385118149824	0.6865671641791045	0.2666666666666666	0.6301369863013698	0.2352941176470588	0.657142857142857	0.240085085662297	0.25	0.7922424061941631	0.6566113624937154	0.6061543370197063	0.1491316483440936	0.4832880241420566	0.2541009286183323	6.875811954339345
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061471	87(13.04%)	580 (86.96%)	XGBoost	50	49	39	71	23	400	5	24	20	85	0.7391445791384152	0.4899082568807339	0.3545454545454545	0.1724137931034483	0.6290322580645161	0.2	0.4534883720930232	0.1056296296296296	0.1851851851851852	0.7391445791384151	0.5311926605504588	0.3789049758661633	-0.0190935106464903	0.2661724978404758	0.2059857788596428	4.363706998030344
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040047	107(16.04%)	560 (83.96%)	XGBoost	50	43	51	22	30	430	3	11	23	97	0.7904785316289742	0.5067663817663818	0.6986301369863014	0.2142857142857142	0.6296296296296297	0.1153846153846153	0.6623376623376623	0.0574324324324324	0.15	0.7904785316289742	0.5487891737891739	0.6066181736162719	0.0174956629701446	0.4961634126351801	0.209215466906332	8.949368882179261
