data	safety_endpoint	roc_auc_score	pr_auc_score
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002034	0.6118233618233618	0.2935543973413286
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060708	0.5	0.05223880597014925
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049771	0.538375350140056	0.1397081589746585
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047289	0.6302083333333334	0.46097853840731373
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018291	0.5992961287078934	0.2408712937916072
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082490	0.46006749156355453	0.05545421061972302
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046543	0.5454980842911877	0.14425590955706574
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006458	0.6752136752136753	0.2896501975112287
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061471	0.5240366972477064	0.22176968154108326
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040047	0.45584045584045585	0.17774152780110303
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005419	0.6805194805194805	0.40835276548734795
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027417	0.5643939393939394	0.2192735435966483
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10072970	0.6835095965530746	0.326906916280911
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027458	0.5430327868852459	0.13871288291021555
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10037087	0.7436440677966102	0.35154885087057747
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10014581	0.655793025871766	0.09057468352621101
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10023509	0.6208333333333333	0.3601382768981459
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018852	0.6355555555555555	0.11648037665395429
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050031	0.6785714285714286	0.3027425108511767
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029282	0.7849025974025975	0.44046974337591205
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035155	0.6587719298245615	0.2812299387558818
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033546	0.5809312638580932	0.271462343426203
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020649	0.5988200589970502	0.2108461865021287
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021027	0.6508009153318077	0.20622029969624744
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005630	0.5615384615384615	0.26620258609644776
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10057453	0.7007575757575758	0.37318519877731704
