data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
RDKit 1D descriptors	10002034	112(16.79%)	555 (83.21%)	XGBoost	50	19	63	58	23	389	5	11	21	97	0.8014021122730347	0.5452279202279202	0.5206611570247934	0.3125	0.7325581395348837	0.1923076923076923	0.6086956521739131	0.2936666452795485	0.2380952380952381	0.8014021122730347	0.5676638176638177	0.5293439834971212	0.1103148985449699	0.4245665384994009	0.3196876760110929	4.335339562098185
RDKit 1D descriptors	10060708	21(3.15%)	646 (96.85%)	XGBoost	50	0	2	0	12	519	0	0	7	127	0.5714285714285714	0.5	1.0	0.0	0.1428571428571428	0.0	0.25	0.0	0.0	0.5714285714285714	0.5241844769403824	0.3736692827207929	0.0	0.1653712141517019	0.0600319444966969	2.7035105268160504
RDKit 1D descriptors	10049771	71(10.64%)	596 (89.36%)	XGBoost	50	6	41	90	15	387	6	32	9	87	0.7717318059299192	0.565546218487395	0.3129770992366412	0.1578947368421052	0.7321428571428571	0.4	0.4385026737967914	0.3046917046917047	0.2264150943396226	0.7717318059299192	0.5266106442577031	0.38705706530267	0.0916999993006443	0.2572865367735969	0.1526921892361334	4.663080044587454
RDKit 1D descriptors	10047289	150(22.49%)	517 (77.51%)	XGBoost	50	32	73	81	45	334	14	33	18	69	0.711731672452522	0.5569852941176471	0.474025974025974	0.2978723404255319	0.6186440677966102	0.4375	0.5367647058823529	0.3485273409733075	0.3544303797468354	0.711731672452522	0.5974264705882353	0.3878831467852348	0.1018261467083366	0.3776811241672754	0.4117978030986115	3.357890486717224
RDKit 1D descriptors	10018291	87(13.04%)	580 (86.96%)	XGBoost	50	11	46	61	24	402	6	15	11	102	0.7626966985498302	0.6123680241327301	0.4299065420560747	0.2857142857142857	0.6571428571428571	0.3529411764705882	0.519774011299435	0.2466809613151076	0.3157894736842105	0.7626966985498302	0.6133735545500252	0.4430241873313403	0.2057506720615929	0.327538155940253	0.2428135120938875	4.609305906295776
RDKit 1D descriptors	10082490	44(6.6%)	623 (93.4%)	XGBoost	50	39	14	3	23	493	0	1	7	126	0.686164995640802	0.4960629921259842	0.8235294117647058	0.0	0.3783783783783784	0.0	0.5185185185185186	0.08	0.0	0.6861649956408021	0.2845894263217097	0.5385430293300113	-0.0203573544812517	0.3547576933516675	0.0391416314107237	2.8839638392130533
RDKit 1D descriptors	10046543	99(14.84%)	568 (85.16%)	XGBoost	50	21	55	49	26	403	3	19	15	97	0.7853026330164974	0.5014367816091954	0.5288461538461539	0.1363636363636363	0.6790123456790124	0.1666666666666666	0.5945945945945946	0.2806719142926039	0.15	0.7853026330164973	0.5833333333333334	0.5168948277653566	0.0026452434730655	0.4078735552312788	0.1705611440030415	6.381148453553518
RDKit 1D descriptors	10006458	90(13.49%)	577 (86.51%)	XGBoost	50	45	50	58	23	402	6	15	11	102	0.7794222751637879	0.6123680241327301	0.4629629629629629	0.2857142857142857	0.684931506849315	0.3529411764705882	0.5524861878453039	0.2549191919191919	0.3157894736842105	0.779422275163788	0.698340874811463	0.4779968375627442	0.2057506720615929	0.3602498898188841	0.3389516591562774	3.2197684089342755
RDKit 1D descriptors	10061471	87(13.04%)	580 (86.96%)	XGBoost	50	8	42	55	20	416	6	12	19	97	0.7803232655297583	0.564954128440367	0.4329896907216495	0.3333333333333333	0.6774193548387096	0.24	0.5283018867924527	0.0931777188328912	0.2790697674418604	0.7803232655297582	0.5897247706422017	0.4658716961837014	0.1484071283177689	0.3308390490980707	0.2561046159424732	2.613701864083608
RDKit 1D descriptors	10040047	107(16.04%)	560 (83.96%)	XGBoost	50	8	62	94	19	358	8	29	18	79	0.7787337484977603	0.5195868945868947	0.3974358974358974	0.2162162162162162	0.7654320987654321	0.3076923076923077	0.5232067510548523	0.151734539969834	0.2539682539682539	0.7787337484977602	0.4925213675213676	0.4398436268335426	0.034650332329466	0.3398574726488005	0.197266441817622	4.54394040107727
