data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002034	112(16.79%)	555 (83.21%)	XGBoost	50	8	64	102	22	345	12	35	14	73	0.7579990635242704	0.5687321937321937	0.3855421686746988	0.2553191489361702	0.7441860465116279	0.4615384615384615	0.507936507936508	0.2717822602928986	0.3287671232876712	0.7579990635242703	0.5559116809116809	0.4098868979369853	0.1139148119767018	0.3281908996429016	0.2817842315463005	9.071228555838267
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060708	21(3.15%)	646 (96.85%)	XGBoost	50	0	1	0	13	519	0	0	7	127	0.5357142857142857	0.5	1.0	0.0	0.0714285714285714	0.0	0.1333333333333333	0.0	0.0	0.5357142857142857	0.4893138357705286	0.263975636020561	0.0	0.0958188153310104	0.0560333509243706	6.586210012435913
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049771	71(10.64%)	596 (89.36%)	XGBoost	50	42	38	52	18	425	3	21	12	98	0.7847783767595089	0.5117647058823529	0.4222222222222222	0.125	0.6785714285714286	0.2	0.5205479452054794	0.3082120051085568	0.1538461538461538	0.7847783767595089	0.5310924369747899	0.4661944415017639	0.0193476497487973	0.3202790434497752	0.1378581394704714	10.055352715651194
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047289	150(22.49%)	517 (77.51%)	XGBoost	50	46	78	48	40	367	13	22	19	80	0.7726771492750664	0.595281862745098	0.6190476190476191	0.3714285714285714	0.6610169491525424	0.40625	0.6393442622950819	0.3465740876118198	0.3880597014925374	0.7726771492750664	0.5980392156862745	0.5329191364511721	0.1849539837898627	0.4842478728381994	0.4039775953985617	12.097609007358551
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018291	87(13.04%)	580 (86.96%)	XGBoost	50	41	43	63	27	400	5	17	12	100	0.739108299907436	0.5744092508798391	0.4056603773584906	0.2272727272727272	0.6142857142857143	0.2941176470588235	0.4886363636363637	0.2199623966031085	0.2564102564102564	0.739108299907436	0.5892408245349422	0.4046665367645241	0.1337069455537445	0.2998480350758308	0.2050234479714821	8.13078621228536
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082490	44(6.6%)	623 (93.4%)	XGBoost	50	31	24	24	13	472	0	4	7	123	0.8001307759372276	0.484251968503937	0.5	0.0	0.6486486486486487	0.0	0.5647058823529412	0.103030303030303	0.0	0.8001307759372276	0.4769403824521935	0.5329552430004076	-0.0411818145960346	0.3487145682267634	0.0546639249427305	8.792787702878316
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046543	99(14.84%)	568 (85.16%)	XGBoost	50	6	55	88	26	364	4	30	14	86	0.7421610400961434	0.4818007662835249	0.3846153846153846	0.1176470588235294	0.6790123456790124	0.2222222222222222	0.4910714285714286	0.3197269397269397	0.1538461538461538	0.7421610400961434	0.5550766283524905	0.3924150665703264	-0.0285238987770328	0.3099390822968059	0.150442306173575	9.841038982073464
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006458	90(13.49%)	577 (86.51%)	XGBoost	50	42	44	30	29	430	5	14	12	103	0.7687611673615247	0.587229763700352	0.5945945945945946	0.2631578947368421	0.6027397260273972	0.2941176470588235	0.598639455782313	0.2519145153416253	0.2777777777777777	0.7687611673615248	0.693815987933635	0.5344593236017049	0.1664509823435487	0.4127947886718351	0.3120186501545672	8.86114181280136
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061471	87(13.04%)	580 (86.96%)	XGBoost	50	42	38	79	24	392	5	26	20	83	0.7225874940072599	0.4807339449541284	0.3247863247863248	0.1612903225806451	0.6129032258064516	0.2	0.4245810055865922	0.1635691479962892	0.1785714285714285	0.7225874940072597	0.5649541284403669	0.3448239780795107	-0.0355964416508186	0.2440907287484785	0.299405028747215	6.787105810642243
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040047	107(16.04%)	560 (83.96%)	XGBoost	50	35	50	104	31	348	10	33	16	75	0.6935977275210313	0.5395299145299145	0.3246753246753247	0.2325581395348837	0.6172839506172839	0.3846153846153846	0.425531914893617	0.1616568756986214	0.2898550724637681	0.6935977275210314	0.5302706552706553	0.3066634465154158	0.0669729607592132	0.2585782179278114	0.2143293380089859	6.615257823467255
