data	safety_endpoint	roc_auc_score	pr_auc_score
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002034	0.5698005698005698	0.25354557189183935
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10060708	0.5	0.05223880597014925
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049771	0.550140056022409	0.14126275261013035
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10047289	0.6501225490196078	0.4953295632157837
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018291	0.599798893916541	0.24632710981550382
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082490	0.250843644544432	0.037818487246757806
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046543	0.5454980842911877	0.14482960329466033
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006458	0.7134238310708899	0.35506235003615083
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061471	0.5240366972477064	0.20622762662311162
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040047	0.4515669515669516	0.17878793726172731
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005419	0.6796536796536796	0.4052989684416632
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027417	0.6132575757575758	0.2815827626886314
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10072970	0.6314140227183705	0.2563164118869901
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027458	0.5430327868852459	0.13871288291021555
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10037087	0.7473516949152543	0.3560932385179513
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10014581	0.5849268841394826	0.09545311298012378
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10023509	0.6269230769230769	0.3635503575767995
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018852	0.5715555555555556	0.09945760187090538
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050031	0.6712662337662338	0.2988196680052772
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029282	0.7881493506493505	0.45680032967508555
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035155	0.5868421052631579	0.2700886092284641
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033546	0.5668883961566888	0.30919617583101233
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020649	0.6000842815002108	0.2558005576897995
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021027	0.6453089244851258	0.20400846188815033
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005630	0.5615384615384615	0.2639361173429069
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10057453	0.6840909090909092	0.33791502904362225
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10001233	0.7420183486238532	0.4955943428251175
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10082297	0.7911290322580645	0.5097181460375944
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10003885	0.7321937321937322	0.32118880941953687
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061126	0.5508474576271186	0.19220105488131162
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029202	0.4899224806201551	0.042307634061757
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005470	0.7152293577981652	0.41331455659117705
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10057009	0.47644444444444445	0.08449534821644042
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061368	0.5339366515837104	0.1889416353458127
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10065558	0.688529411764706	0.45096872092231827
