data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
ECFP4 fingerprints	10002034	112(16.79%)	555 (83.21%)	XGBoost	50	24	60	37	26	410	5	16	21	92	0.8074501846938245	0.5220797720797721	0.6185567010309279	0.238095238095238	0.6976744186046512	0.1923076923076923	0.6557377049180328	0.1620114942528735	0.2127659574468084	0.8074501846938245	0.5388176638176638	0.5862442948972433	0.0480368216146745	0.4803316745706417	0.2107285348621348	13.460952015717824
ECFP4 fingerprints	10060708	21(3.15%)	646 (96.85%)	XGBoost	50	0	1	0	13	519	0	0	7	127	0.5357142857142857	0.5	1.0	0.0	0.0714285714285714	0.0	0.1333333333333333	0.0	0.0	0.5357142857142857	0.6614173228346457	0.263975636020561	0.0	0.0958188153310104	0.0854242800885849	5.579317466417948
ECFP4 fingerprints	10049771	71(10.64%)	596 (89.36%)	XGBoost	50	42	34	75	22	402	3	22	12	97	0.7249550763701706	0.507563025210084	0.3119266055045872	0.12	0.6071428571428571	0.2	0.4121212121212121	0.2754331723027375	0.15	0.7249550763701708	0.5341736694677871	0.3420446637629153	0.0122422544146884	0.2306598078582862	0.1868290312896746	8.49805596669515
ECFP4 fingerprints	10047289	150(22.49%)	517 (77.51%)	XGBoost	50	40	65	22	53	393	9	7	23	95	0.7489177047171738	0.6063112745098039	0.7471264367816092	0.5625	0.5508474576271186	0.28125	0.6341463414634146	0.3084776896401183	0.375	0.7489177047171737	0.6564031862745099	0.5592729050523119	0.2795653870292105	0.5109898464447936	0.4401276278607803	6.227226169904073
ECFP4 fingerprints	10018291	87(13.04%)	580 (86.96%)	XGBoost	50	8	44	89	26	374	6	23	11	94	0.7181734032705955	0.5781799899446959	0.3308270676691729	0.2068965517241379	0.6285714285714286	0.3529411764705882	0.4334975369458128	0.1693726563291781	0.2608695652173913	0.7181734032705954	0.5452488687782805	0.3405771455480427	0.1263715606654634	0.2567289303397867	0.1724199763944085	10.547002053260805
ECFP4 fingerprints	10082490	44(6.6%)	623 (93.4%)	XGBoost	50	49	23	32	14	464	0	12	7	115	0.7785527462946817	0.452755905511811	0.4181818181818181	0.0	0.6216216216216216	0.0	0.5	0.1042016806722689	0.0	0.7785527462946817	0.2677165354330709	0.4654615886811775	-0.0736305199347237	0.2862172764611789	0.0407723820827979	9.101077767213186
ECFP4 fingerprints	10046543	99(14.84%)	568 (85.16%)	XGBoost	50	6	42	52	39	400	1	22	17	94	0.701737135365454	0.4329501915708812	0.4468085106382978	0.0434782608695652	0.5185185185185185	0.0555555555555555	0.48	0.3435535520641903	0.048780487804878	0.701737135365454	0.5512452107279694	0.3800418164781542	-0.1212739091239233	0.3048492187049529	0.1666701034083076	7.73602655728658
ECFP4 fingerprints	10006458	90(13.49%)	577 (86.51%)	XGBoost	50	32	42	56	31	404	4	10	13	107	0.726801667659321	0.5749120160884866	0.4285714285714285	0.2857142857142857	0.5753424657534246	0.2352941176470588	0.4912280701754386	0.206342668264865	0.2580645161290323	0.7268016676593211	0.6013071895424837	0.402586232367081	0.1630212548016545	0.3047366933100311	0.2406365874650256	10.49306025505066
ECFP4 fingerprints	10061471	87(13.04%)	580 (86.96%)	XGBoost	50	8	35	63	27	408	3	19	22	90	0.7153790836244094	0.4728440366972477	0.3571428571428571	0.1363636363636363	0.5645161290322581	0.12	0.4375	0.1707843137254902	0.1276595744680851	0.7153790836244094	0.5199999999999999	0.3565185672018033	-0.0571160427971962	0.2522695636385644	0.1926578129910656	9.091541318098704
ECFP4 fingerprints	10040047	107(16.04%)	560 (83.96%)	XGBoost	50	13	46	80	35	372	5	27	21	81	0.6954550420627117	0.4711538461538461	0.365079365079365	0.15625	0.5679012345679012	0.1923076923076923	0.4444444444444445	0.1156369183829137	0.1724137931034483	0.6954550420627116	0.474002849002849	0.3302981365598641	-0.0535107930923805	0.2729950634196343	0.1969681617183865	7.246295857429504
