data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Mordred descriptors	10002034	112(16.79%)	555 (83.21%)	XGBoost	50	8	57	96	29	351	11	30	15	78	0.7240127985016388	0.5726495726495726	0.3725490196078431	0.2682926829268293	0.6627906976744186	0.4230769230769231	0.4769874476987448	0.2352238095295065	0.3283582089552239	0.7240127985016388	0.5924145299145299	0.3643076581449612	0.1246890191768774	0.3013310302523208	0.2828573072434853	8.323135526974996
Mordred descriptors	10060708	21(3.15%)	646 (96.85%)	XGBoost	50	0	3	0	11	519	0	0	7	127	0.6071428571428571	0.5	1.0	0.0	0.2142857142857142	0.0	0.3529411764705882	0.0	0.0	0.6071428571428571	0.5579302587176602	0.4580810789943353	0.0	0.2349236129723934	0.063623878872675	3.496903145313263
Mordred descriptors	10049771	71(10.64%)	596 (89.36%)	XGBoost	50	32	38	58	18	419	4	19	11	100	0.7784890685834083	0.5535014005602241	0.3958333333333333	0.1739130434782608	0.6785714285714286	0.2666666666666666	0.5	0.3324132730015082	0.2105263157894737	0.7784890685834083	0.5478991596638655	0.4444419212845653	0.0894723511004361	0.3023722974180291	0.1436259658165297	6.369451185067494
Mordred descriptors	10047289	150(22.49%)	517 (77.51%)	XGBoost	50	48	103	23	15	392	11	13	21	89	0.9087298345926076	0.6081495098039216	0.8174603174603174	0.4583333333333333	0.8728813559322034	0.34375	0.8442622950819672	0.3530388983916419	0.3928571428571428	0.9087298345926076	0.6458333333333333	0.7988199637263862	0.2405069675825085	0.7416884594437302	0.4569119314111924	8.508765570322673
Mordred descriptors	10018291	87(13.04%)	580 (86.96%)	XGBoost	50	21	45	70	25	393	3	14	14	103	0.7458346189447702	0.5284062342885872	0.391304347826087	0.1764705882352941	0.6428571428571429	0.1764705882352941	0.4864864864864865	0.2211548184851855	0.1764705882352941	0.7458346189447701	0.5168426344896933	0.4037155627181295	0.0568124685771744	0.298457110228054	0.1733706014853482	4.237678547700246
Mordred descriptors	10082490	44(6.6%)	623 (93.4%)	XGBoost	50	8	24	27	13	469	0	10	7	117	0.7971065823888405	0.4606299212598425	0.4705882352941176	0.0	0.6486486486486487	0.0	0.5454545454545454	0.1163636363636363	0.0	0.7971065823888405	0.484814398200225	0.5134230501796793	-0.0666708998740663	0.3296366667959208	0.0621800140718942	4.035410519440969
Mordred descriptors	10046543	99(14.84%)	568 (85.16%)	XGBoost	50	41	57	108	24	344	4	34	14	82	0.7323828253031792	0.46455938697318	0.3454545454545454	0.1052631578947368	0.7037037037037037	0.2222222222222222	0.4634146341463415	0.3087857142857143	0.1428571428571428	0.7323828253031793	0.5287356321839081	0.360894171846389	-0.0536252158624931	0.2881257856867613	0.1395053747034799	5.6465816060702005
Mordred descriptors	10006458	90(13.49%)	577 (86.51%)	XGBoost	50	41	40	35	33	425	4	16	13	101	0.7359291244788564	0.5492709904474611	0.5333333333333333	0.2	0.547945205479452	0.2352941176470588	0.5405405405405406	0.2205020469726351	0.2162162162162162	0.7359291244788565	0.6194067370537959	0.4665396153126116	0.092038865397171	0.3541511389824119	0.1850324282642934	5.42869021097819
Mordred descriptors	10061471	87(13.04%)	580 (86.96%)	XGBoost	50	21	40	95	22	376	8	26	17	83	0.7217313882610781	0.5407339449541284	0.2962962962962963	0.2352941176470588	0.6451612903225806	0.32	0.4060913705583756	0.1526063634849242	0.2711864406779661	0.721731388261078	0.5807339449541286	0.3269302072783729	0.0729340386111132	0.2324346982096785	0.2247348666975839	3.593428266048432
Mordred descriptors	10040047	107(16.04%)	560 (83.96%)	XGBoost	50	49	54	40	27	412	4	16	22	92	0.7890855457227138	0.5028490028490029	0.574468085106383	0.2	0.6666666666666666	0.1538461538461538	0.6171428571428571	0.1304582843713278	0.1739130434782608	0.7890855457227137	0.5498575498575499	0.5445928223131308	0.0063234488136052	0.4336353838170133	0.2187758429469325	3.5096515377362567
Mordred descriptors	10005419	150(22.49%)	517 (77.51%)	XGBoost	50	35	78	53	37	365	10	17	25	82	0.7757333055960058	0.5569985569985569	0.5954198473282443	0.3703703703703703	0.6782608695652174	0.2857142857142857	0.6341463414634146	0.2757262341901265	0.3225806451612903	0.7757333055960058	0.6496392496392497	0.5268750215117987	0.1248451585497514	0.4732683698968011	0.3874184659876185	3.851702360312144
Mordred descriptors	10027417	120(17.99%)	547 (82.01%)	XGBoost	50	22	65	100	31	337	12	32	12	78	0.7241251906941266	0.6045454545454545	0.3939393939393939	0.2727272727272727	0.6770833333333334	0.5	0.4980842911877394	0.3718338399189463	0.3529411764705882	0.7241251906941267	0.6884469696969697	0.3725899371051029	0.1707220123757972	0.3248911488240756	0.2932423746525879	6.102920806407928
Mordred descriptors	10072970	97(14.54%)	570 (85.46%)	XGBoost	50	31	49	43	25	416	7	12	16	99	0.7842401224754165	0.5981198589894242	0.532608695652174	0.3684210526315789	0.6621621621621622	0.3043478260869565	0.5903614457831325	0.1643225970740202	0.3333333333333333	0.7842401224754166	0.6118292205248727	0.5201449322175267	0.2121224320572386	0.3995776406964106	0.2754440615635631	6.226353100935618
Mordred descriptors	10027458	33(4.95%)	634 (95.05%)	XGBoost	50	0	5	0	16	512	0	0	12	122	0.6190476190476191	0.5	1.0	0.0	0.238095238095238	0.0	0.3846153846153846	0.0	0.0	0.6190476190476191	0.6318306010928962	0.4804999801042981	0.0	0.2681139998213169	0.1819672154716707	3.9479170282681775
Mordred descriptors	10037087	66(9.9%)	601 (90.1%)	XGBoost	50	6	34	21	16	462	6	12	10	106	0.8182608695652174	0.6366525423728814	0.6181818181818182	0.3333333333333333	0.68	0.375	0.6476190476190475	0.3794323323735088	0.3529411764705882	0.8182608695652175	0.7452330508474576	0.6100655694330924	0.2598863439034765	0.4503823980897152	0.4199434950588381	6.16243284145991
Mordred descriptors	10014581	37(5.55%)	630 (94.45%)	XGBoost	50	2	0	0	30	503	0	0	7	127	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.5	0.6310461192350956	0.0	0.0	0.0562851782363977	0.0732005212464146	3.450120349725088
Mordred descriptors	10023509	130(19.49%)	537 (80.51%)	XGBoost	50	32	72	47	28	386	9	14	21	90	0.8057274826789838	0.5826923076923077	0.6050420168067226	0.391304347826087	0.72	0.3	0.6575342465753424	0.2445110600060385	0.3396226415094339	0.8057274826789839	0.6131410256410257	0.5732377371781837	0.1828298054874091	0.4881630851214781	0.3721241574847436	4.647199849287669
Mordred descriptors	10018852	77(11.54%)	590 (88.46%)	XGBoost	50	8	49	60	19	405	3	23	6	102	0.7957779886148008	0.5746666666666667	0.4495412844036697	0.1153846153846153	0.7205882352941176	0.3333333333333333	0.5536723163841808	0.3406118178496695	0.1714285714285714	0.7957779886148009	0.6266666666666666	0.4893060690002295	0.0945223409278088	0.35958144037001	0.1057055557606083	6.101532367865245
Mordred descriptors	10050031	90(13.49%)	577 (86.51%)	XGBoost	50	11	44	35	24	430	4	9	18	103	0.7858950031625553	0.5507305194805194	0.5569620253164557	0.3076923076923077	0.6470588235294118	0.1818181818181818	0.5986394557823129	0.2101382488479262	0.2285714285714286	0.7858950031625553	0.6513798701298701	0.5368785109344631	0.1269858398487711	0.4054153354409425	0.2606833412597346	7.148418883482616
