target_id,model_name
A0A023PPM3,Bifunctional dihydrofolate reductase-thymidylate synthase
A0A024AXB9,Genome polyprotein
A0A061I9U7,Sodium channel protein type 5 subunit alpha-like isoform 2
A0A087WUQ6,Glutathione peroxidase
A0A0B2W2H7,D(2) dopamine receptor A
A0A113T0T6,"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase"
A0A143MHK7,NS5
A0A1B1RVA9,Lipoprotein lipase
A0A1U7Q4U1,Muscarinic acetylcholine receptor
A0A1U7QAF5,D(2) dopamine receptor
A0A1U8BVR4,Adenosine receptor A1
A0A286X958,Arachidonate 5-lipoxygenase
A0A286XI85,Dopamine receptor D1
A0A286XN15,Phosphodiesterase
A0A286XTF2,Opioid receptor delta 1
A0A286XXM8,Neurotensin receptor 1
A0A286Y074,5-hydroxytryptamine receptor 1A
A0A287AQ89,Glycogen synthase kinase-3 beta
A0A287B0Q7,D(2) dopamine receptor
A0A287B475,Phosphodiesterase
A0A287B941,Phosphodiesterase
A0A287BKF3,Constitutive NOS
A0A2I0M559,"5-hydroxytryptamine (Serotonin) receptor 1A, G protein-coupled"
A0A2I0MTQ2,"5-hydroxytryptamine (Serotonin) receptor 1B, G protein-coupled"
A0A2I2UE68,Histamine H1 receptor
A0A2S9PM60,DNA topoisomerase 1
A0A3Q1M2H0,5-hydroxytryptamine receptor 2C
A0A452FGS0,Dipeptidyl peptidase 4
A0A481BQ65,Neuronal acetylcholine receptor subunit beta-4 isoform X2
A0A4Y6F0G0,Beta-1 adrenergic receptor
A0A5F9DSH7,Phosphate transporter
A0A5F9DUN4,Muscarinic acetylcholine receptor
A0A7K6SNL5,5HT3A protein
A0EPY1,DHFR
A0N0C4,Transporter
A1XG20,Cytochrome P450 14alpha-demethylase
A1Y9Q3,5-hydroxytryptamine serotonin receptor 1B
A2AMW3,"Gamma-aminobutyric acid (GABA) A receptor, subunit epsilon"
A2ARP9,Cation channel sperm-associated protein 2
A2RP81,Beta-lactamase
A3EZJ3,Genome polyprotein
A3RLP8,Thymidine kinase
A4TVL0,Cereblon isoform 4
A5LHX3,Proteasome subunit beta type-11
A5X5Y0,5-hydroxytryptamine receptor 3E
A5Z252,Neuraminidase
A6XA80,Leukotriene C4 synthase
A6YCJ1,Astrosclerin-3
A8PUY1,"LIP1, secretory lipase (Family 3)"
B0FL73,Beta-1 adrenergic receptor
B1PLM1,Hexose transporter
B2RC52,"cDNA, FLJ95855, highly similar to Homo sapiens potassium inwardly-rectifying channel, subfamily J,member 11 (KCNJ11), mRNA"
B2RXH2,Lysine-specific demethylase 4E
B2ZTR6,Beta-lactamase
B4URF0,Neuraminidase
B5SU02,Alpha carbonic anhydrase
B8K1W2,Bile salt export pump
B8QP49,Amiloride sensitive sodium channel gamma1 subunit
_C0001_HUMAN,5'-AMP-activated protein kinase
_C0003_HUMAN,Amiloride-sensitive sodium channel
_C0004_RAT,ATP synthase
_C0005_HUMAN,Beta-hexosaminidase
_C0006_HUMAN,Calcium/calmodulin-dependent protein kinase type II
_C0009,Casein kinase II
_C0009_BOVIN,Casein kinase II
_C0009_HUMAN,Casein kinase II
_C0009_RABIT,Casein kinase II
_C0010,DNA gyrase
_C0010_CTREI,DNA gyrase
_C0010_ECO55,DNA gyrase
_C0010_ECOLK12,DNA gyrase
_C0010_ENTFC,DNA gyrase
_C0010_KLEAE,DNA gyrase
_C0010_KLEP3,DNA gyrase
_C0010_MYCTU,DNA gyrase
_C0010_PROSM,DNA gyrase
_C0010_PSEA1,DNA gyrase
_C0010_STAA0,DNA gyrase
_C0012_HUMAN,Gamma-aminobutyric acid type A receptor
_C0013,Gamma-aminobutyric acid type B receptor
_C0013_BOVIN,Gamma-aminobutyric acid type B receptor
_C0013_CAVPO,Gamma-aminobutyric acid type B receptor
_C0013_FELCA,Gamma-aminobutyric acid type B receptor
_C0013_HUMAN,Gamma-aminobutyric acid type B receptor
_C0013_RAT,Gamma-aminobutyric acid type B receptor
_C0013_XENLA,Gamma-aminobutyric acid type B receptor
_C0014,Gamma-secretase
_C0014_HUMAN,Gamma-secretase
_C0014_MOUSE,Gamma-secretase
_C0015,Glycine receptor
_C0015_RAT,Glycine receptor
_C0018_HUMAN,Inhibitor of nuclear factor kappa-B kinase
_C0023_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2
